iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,14.002742178221713,0.6144065028833297,1.2406501517033373,9,0.7,1.4,1.4
1,14.002742178221713,0.48665574219411745,0.9046297949159573,5,0.7,1.4,1.4
2,13.322318459242016,0.5503922333298765,1.0118241698825374,6,0.7,1.4,1.4
3,11.872670862695866,0.5340124691897181,0.8253113663986801,6,0.7,1.4,1.4
4,10.466467080332702,0.45992447066114117,0.6906328456311378,7,0.7,1.4,1.4
5,8.53683940804385,0.46870904914563355,0.5721101407473113,7,0.7,1.4,1.4
6,8.53683940804385,0.43217238139841746,0.5297150505991906,4,0.7,1.4,1.4
7,8.34728907740622,0.3595036179673895,0.479930838780432,6,0.7,1.4,1.4
8,8.34728907740622,0.36823135031831544,0.4893967123464936,5,0.7,1.4,1.4
9,8.34728907740622,0.2741523769394086,0.3986834071468921,6,0.7,1.4,1.4
10,8.24504330067385,0.32969280957911123,0.2808991403938023,6,0.7,1.4,1.4
11,8.00911582940971,0.2933385838722685,0.2415173867274459,7,0.7,1.4,1.4
12,8.00911582940971,0.2403066662802938,0.2582405547339204,5,0.7,1.4,1.4
13,8.00911582940971,0.20834197908458268,0.22656465565710943,6,0.7,1.4,1.4
14,7.974425368061802,0.18869420048748536,0.22128031067742487,6,0.7,1.4,1.4
15,7.974425368061802,0.20989266300136217,0.21603018668911114,4,0.7,1.4,1.4
16,7.974425368061802,0.17493859210320073,0.19383335318072503,4,0.7,1.4,1.4
17,7.974425368061802,0.1622606264342205,0.19970982387581976,6,0.7,1.4,1.4
18,7.965045018535012,0.12379957686663287,0.1846820745078333,5,0.7,1.4,1.4
19,7.965045018535012,0.13640180758751283,0.12090191558671845,5,0.7,1.4,1.4
20,7.965045018535012,0.11811915117704075,0.0984024540865018,6,0.7,1.4,1.4
21,7.965045018535012,0.1301463972133396,0.144136293470252,5,0.7,1.4,1.4
22,7.9619706521886435,0.09712086383195276,0.15500955807494024,4,0.7,1.4,1.4
23,7.9619706521886435,0.11533175131746035,0.09697633000144504,6,0.7,1.4,1.4
24,7.9619706521886435,0.10161229831828533,0.08050550537705076,1,0.7,1.4,1.4
25,7.9619706521886435,0.07759177983300684,0.08144821658206709,3,0.7,1.4,1.4
26,7.9619706521886435,0.0828694511195354,0.08569375056147288,4,0.7,1.4,1.4
