iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,18.141715796869747,0.6005229052838859,0.9932397237901107,12,0.7,1.4,1.4
1,16.24954765080135,0.48339681126140377,1.045935226381061,8,0.7,1.4,1.4
2,15.5182818752276,0.5198628705696133,0.6817227967389401,5,0.7,1.4,1.4
3,15.5182818752276,0.49877413406396914,0.5017485859810096,7,0.7,1.4,1.4
4,15.5182818752276,0.4216014826524992,0.5720902741281458,2,0.7,1.4,1.4
5,13.968938528594574,0.3714906498000914,0.4871838567169601,6,0.7,1.4,1.4
6,13.968938528594574,0.38379715998591524,0.4649885813721924,10,0.7,1.4,1.4
7,12.938466256434406,0.35188568272592397,0.3903682912061048,4,0.7,1.4,1.4
8,12.938466256434406,0.31712755463798736,0.3283128402903981,9,0.7,1.4,1.4
9,12.938466256434406,0.2824629335092614,0.3532013015617889,2,0.7,1.4,1.4
10,12.938466256434406,0.2996478330834867,0.29360086932095053,5,0.7,1.4,1.4
11,12.938466256434406,0.22050072310298569,0.3499081483537769,3,0.7,1.4,1.4
12,12.938466256434406,0.21454952208410863,0.30358784456483223,5,0.7,1.4,1.4
13,12.938466256434406,0.26161692472953546,0.19976582968173895,5,0.7,1.4,1.4
14,12.938466256434406,0.2175196616003448,0.1745988715612562,3,0.7,1.4,1.4
15,12.938466256434406,0.198572752864579,0.19587453513316955,4,0.7,1.4,1.4
16,12.938466256434406,0.16834836585183116,0.1843756705392094,4,0.7,1.4,1.4
17,12.938466256434406,0.20705494300965316,0.1664978050170966,4,0.7,1.4,1.4
18,12.938049426260484,0.16722009776258234,0.1729589220404204,8,0.7,1.4,1.4
19,12.938049426260484,0.13816789221548728,0.1600105119630661,2,0.7,1.4,1.4
20,12.93731922075644,0.14033293218760776,0.15045402681471176,6,0.7,1.4,1.4
21,12.93731922075644,0.15284206629058766,0.13464776737486692,1,0.7,1.4,1.4
22,8.490374282722708,0.14636809021723904,0.8934632164946532,10,0.7,1.4,1.4
23,8.490374282722708,0.408568438685246,0.5902706706897305,0,0.7,1.4,1.4
