iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,11.80543777070732,1.93835123678863,3.981592735138551,10,1.2,1.4,1.4
1,7.3812059747267895,1.657296666380485,2.8023030767905985,5,1.2,1.4,1.4
2,5.329475393803319,1.6486660227690693,2.9277668989409635,8,1.2,1.4,1.4
3,5.329475393803319,1.7174698050999246,2.3436052642461687,7,1.2,1.4,1.4
4,5.329475393803319,1.6846845166915512,1.479286503862665,3,1.2,1.4,1.4
5,5.329475393803319,1.5515803580547103,1.2145295925197672,1,1.2,1.4,1.4
6,5.329475393803319,1.5405051216370103,1.5193601120883322,2,1.2,1.4,1.4
7,5.329475393803319,1.4157149193476346,1.9943589745036547,1,1.2,1.4,1.4
8,2.7962400774180836,1.5635497984645956,1.497744807197017,2,1.2,1.4,1.4
9,2.7962400774180836,1.2341065716506723,1.749491311376347,0,1.2,1.4,1.4
10,2.7962400774180836,1.1651457216158687,1.1586065542552761,0,1.2,1.4,1.4
11,2.7962400774180836,1.6903055313111284,1.277711960892803,1,1.2,1.4,1.4
12,2.311957238413253,1.37179182881111,1.7103173668841662,2,1.2,1.4,1.4
13,2.311957238413253,1.478557826517093,1.602922339805966,3,1.2,1.4,1.4
14,2.162471896230162,1.5728133656005083,1.8770674675946846,1,1.2,1.4,1.4
15,2.162471896230162,1.3324756256377757,2.0148008569125704,0,1.2,1.4,1.4
16,0.2770413935482594,1.52159431356987,1.4981443788234474,3,1.2,1.4,1.4
17,0.2770413935482594,1.6451713193308959,1.4598577298048012,1,1.2,1.4,1.4
18,0.2770413935482594,1.2545824598127227,1.7836532198556605,2,1.2,1.4,1.4
19,0.2770413935482594,1.5587103514965583,1.5462451885165556,1,1.2,1.4,1.4
20,0.2770413935482594,1.654683585919291,1.700250601709283,0,1.2,1.4,1.4
21,0.2770413935482594,1.400482616969232,1.603008906928658,2,1.2,1.4,1.4
22,0.2770413935482594,1.6048780005983503,1.5041156849147905,0,1.2,1.4,1.4
23,0.2770413935482594,1.4799044396929855,1.7061223720169356,3,1.2,1.4,1.4
24,0.2770413935482594,1.4864283374603333,1.722146485506562,0,1.2,1.4,1.4
25,0.2770413935482594,1.4251092504837035,1.6879825660050716,2,1.2,1.4,1.4
26,0.2770413935482594,1.4959702554561838,1.704451790369649,1,1.2,1.4,1.4
27,0.2770413935482594,1.4787031097092678,1.6413293367820867,5,1.2,1.4,1.4
28,0.2770413935482594,1.4794466087151443,1.433776705980946,0,1.2,1.4,1.4
29,0.2770413935482594,1.4470178660285893,1.3386308167480494,3,1.2,1.4,1.4
30,0.2770413935482594,1.5306316640896678,1.823007761346322,1,1.2,1.4,1.4
31,0.2770413935482594,1.4760252580252031,1.772020271387947,0,1.2,1.4,1.4
32,0.2770413935482594,1.7432928985067424,1.4107906664710277,0,1.2,1.4,1.4
33,0.2770413935482594,1.579067392143381,1.5873509622792923,0,1.2,1.4,1.4
34,0.2770413935482594,1.6348159407765128,1.4359832943943105,3,1.2,1.4,1.4
35,0.2770413935482594,1.7063822678585847,1.5190767526091624,1,1.2,1.4,1.4
36,0.2770413935482594,1.4828577653294057,1.5835474155542713,2,1.2,1.4,1.4
37,0.2770413935482594,1.6668071143949224,1.7522275315591682,0,1.2,1.4,1.4
38,0.2770413935482594,1.390384503700149,1.7867891632984094,0,1.2,1.4,1.4
39,0.2770413935482594,1.6364417628869803,1.3791779474756005,3,1.2,1.4,1.4
40,0.2770413935482594,1.6720542006707597,1.7707160306788943,0,1.2,1.4,1.4
41,0.2770413935482594,1.3527410218858087,1.6889817643733056,0,1.2,1.4,1.4
42,0.2770413935482594,1.7130882379989363,1.2442086535291819,0,1.2,1.4,1.4
43,0.2770413935482594,1.5690698577659137,1.534884379720674,0,1.2,1.4,1.4
44,0.2770413935482594,1.443675974377922,1.824636831567494,0,1.2,1.4,1.4
45,0.2770413935482594,1.6470487790667652,1.7330018502384097,0,1.2,1.4,1.4
46,0.2770413935482594,1.5438431942492494,1.786886565986147,0,1.2,1.4,1.4
47,0.2770413935482594,1.6216657688731875,1.3547296969796623,2,1.2,1.4,1.4
48,0.2770413935482594,1.6004088325413295,1.6106620571065573,0,1.2,1.4,1.4
49,0.2770413935482594,1.4326554235995428,1.2809668602954163,0,1.2,1.4,1.4
50,0.2770413935482594,1.8162773692935574,1.5485557536799281,2,1.2,1.4,1.4
51,0.2770413935482594,1.4839132225548766,2.0146710281587947,0,1.2,1.4,1.4
52,0.2770413935482594,1.6983103930960368,1.583803166953451,1,1.2,1.4,1.4
53,0.2770413935482594,1.7991499895595038,1.6140632450964767,0,1.2,1.4,1.4
54,0.2770413935482594,1.4257367649769237,1.5156954338187099,1,1.2,1.4,1.4
55,0.2770413935482594,1.8095653320037315,1.1751793821903682,1,1.2,1.4,1.4
56,0.2770413935482594,1.7388825854208108,1.830326515237326,0,1.2,1.4,1.4
57,0.2770413935482594,1.2435790037489625,1.8880946644849204,0,1.2,1.4,1.4
58,0.2770413935482594,1.6747058335466753,1.4532896343519228,0,1.2,1.4,1.4
59,0.2770413935482594,1.7348977983801646,1.4017261817016389,0,1.2,1.4,1.4
60,0.2770413935482594,1.5093713652622027,1.5533202949015408,0,1.2,1.4,1.4
61,0.2770413935482594,1.5888079865839506,1.4220362523077,0,1.2,1.4,1.4
62,0.2770413935482594,1.6532189806698785,1.5243497341429812,0,1.2,1.4,1.4
63,0.2770413935482594,1.5474047626079668,1.7434799668435548,0,1.2,1.4,1.4
64,0.2770413935482594,1.5583782212070674,1.5299915593755729,0,1.2,1.4,1.4
65,0.2770413935482594,1.714230381459507,1.7000719707506775,0,1.2,1.4,1.4
66,0.2770413935482594,1.6919380180506594,2.0117205206052446,0,1.2,1.4,1.4
67,0.2770413935482594,1.8330281208624517,1.7038781642846765,0,1.2,1.4,1.4
68,0.2770413935482594,1.8505381118607023,1.7392534900969323,1,1.2,1.4,1.4
69,0.2770413935482594,1.618101686222884,2.0601297129801894,1,1.2,1.4,1.4
70,0.2770413935482594,1.6327000579289321,1.8084673704497785,0,1.2,1.4,1.4
71,0.2770413935482594,1.8323775291958104,1.7203499055845903,0,1.2,1.4,1.4
72,0.2770413935482594,1.582609988664635,1.7023038523092027,1,1.2,1.4,1.4
73,0.2770413935482594,1.5400906397293577,1.6730894968961407,0,1.2,1.4,1.4
74,0.2770413935482594,1.739547742838127,1.5390302651898007,0,1.2,1.4,1.4
75,0.2770413935482594,1.6536012341363726,1.7900060508043747,0,1.2,1.4,1.4
76,0.2770413935482594,1.5962727053845938,1.6736614500770828,2,1.2,1.4,1.4
77,0.2770413935482594,1.6550596467605327,1.7432253590779752,0,1.2,1.4,1.4
78,0.2770413935482594,1.4943234701085195,1.564303762801547,2,1.2,1.4,1.4
79,0.2770413935482594,1.5635836866608892,1.5100546373356365,0,1.2,1.4,1.4
80,0.2770413935482594,1.560670170567679,1.6147174644975153,2,1.2,1.4,1.4
81,0.2770413935482594,1.7393577868618464,1.7100688674990452,0,1.2,1.4,1.4
82,0.2770413935482594,1.5559244443586973,1.7751002806761147,0,1.2,1.4,1.4
83,0.2770413935482594,1.7039277996761133,1.577620461847573,0,1.2,1.4,1.4
84,0.2770413935482594,1.6759126741793928,1.5929179557690891,2,1.2,1.4,1.4
85,0.2770413935482594,1.6152356769932599,1.4877933782987431,0,1.2,1.4,1.4
86,0.2770413935482594,1.6678975540578236,1.5430199311999122,0,1.2,1.4,1.4
