iter,p0_x0,p0_x1,p1_x0,p1_x1,p2_x0,p2_x1,p3_x0,p3_x1,p4_x0,p4_x1,p5_x0,p5_x1,p6_x0,p6_x1,p7_x0,p7_x1,p8_x0,p8_x1,p9_x0,p9_x1,p10_x0,p10_x1,p11_x0,p11_x1,p12_x0,p12_x1,p13_x0,p13_x1,p14_x0,p14_x1,p15_x0,p15_x1,p16_x0,p16_x1,p17_x0,p17_x1,p18_x0,p18_x1,p19_x0,p19_x1
0,-1.9794705109354322,-1.8064977693581286,-4.741966619444557,-2.464208833967564,5.067193498737551,4.040532538614502,-0.8903651257987031,-2.721735998520702,-2.5098293540550936,2.5202445481574784,-1.461974842601712,5.10047394357644,-4.209871014601819,3.736078081049828,1.5945801745459196,0.8982644761069416,5.070662247545539,2.1130181347837524,-3.9664867277301177,-4.2202788182176825,4.332085427629756,-0.9622072073205077,-1.9411100884320538,-5.051883567243626,2.980205291398881,0.05907136435838112,-1.9847695254846283,3.9717430519742463,0.1847031965639827,-4.055849777431108,-1.7333755267295308,3.0451268790693122,3.6626544400215755,1.8970756102208126,-0.42913743487235045,4.207643301883867,-1.0877067358358419,1.949813570102414,-4.044066147439894,4.578936630632575
1,-1.4794705109354322,-2.3064977693581286,-5.12,-1.964208833967564,5.12,4.540532538614502,-1.068304325474788,-2.221735998520702,-2.0098293540550936,2.4823036239761915,-0.9619748426017121,5.12,-3.709871014601819,3.236078081049828,1.0945801745459196,0.3982644761069416,4.570662247545539,1.6130181347837524,-3.4664867277301177,-3.7202788182176825,4.832085427629756,-0.4622072073205077,-1.4411100884320538,-5.12,2.480205291398881,0.5590713643583811,-2.4847695254846283,3.4717430519742463,-0.3152968034360173,-4.555849777431108,-2.2333755267295308,2.5451268790693122,3.1626544400215755,2.3970756102208126,-0.9291374348723505,4.707643301883867,-1.5877067358358419,2.449813570102414,-3.7375985453085954,4.078936630632575
2,-1.3080991343265362,-1.8064977693581286,-4.62,-1.464208833967564,4.62,4.040532538614502,-1.1933237177086429,-1.721735998520702,-1.5098293540550936,2.20692482532895,-0.6300657225053317,4.62,-3.209871014601819,2.736078081049828,0.7269750111461275,0.3699557337909438,4.070662247545539,1.8304476034684154,-3.2386806708251226,-3.2202788182176825,4.332085427629756,0.037792792679492315,-1.9411100884320538,-4.62,2.3008976227833307,0.7244450365423515,-2.5065192743136793,2.9717430519742463,-0.26184720071432976,-4.055849777431108,-1.7333755267295308,2.99699674735628,3.5501152130618845,2.3742239172595045,-1.3212349950970834,4.625982868455104,-1.7210067499293213,1.949813570102414,-3.2375985453085954,3.578936630632575
3,-1.8080991343265362,-1.3064977693581286,-4.2993052953573665,-1.566003824839202,4.12,3.540532538614502,-1.142031496596327,-1.221735998520702,-1.5831023232155719,2.5900483784024777,-0.8702915188279592,4.123466593712197,-2.709871014601819,2.28948433678526,0.2269750111461275,0.8699557337909438,3.570662247545539,2.0013654586604046,-2.7386806708251226,-2.7202788182176825,3.832085427629756,0.5377927926794923,-2.172097145101388,-4.12,2.8008976227833307,0.8857065780764333,-2.0065192743136793,2.7563136783188,0.23815279928567024,-3.555849777431108,-1.2333755267295308,3.1536364245753896,3.373759822708211,1.8742239172595045,-1.391070293450066,4.125982868455104,-1.2210067499293213,1.5998135701024139,-3.479529951452096,3.842805191011416
4,-2.308099134326536,-0.8064977693581286,-4.218783142156585,-1.390160552447031,3.62,3.596397372629804,-1.087189188990504,-0.7217359985207019,-2.083102323215572,2.588204495079472,-1.065475649227619,3.6234665937121973,-2.875498692665551,2.2973968643537663,-0.2730249888538725,1.3699557337909438,3.070662247545539,1.9137629866689392,-2.2386806708251226,-2.2202788182176825,3.332085427629756,0.632585795278287,-1.986157519176141,-3.62,2.814663002555029,0.8857870349204369,-1.6116015146829576,2.415161357740458,-0.09032881898037348,-3.055849777431108,-1.397529276194809,2.8904918942562823,2.873759822708211,1.5596214747456023,-0.9374139063423496,3.929260171985083,-0.8045204142822437,2.099813570102414,-3.376371142716057,4.132226761877141
5,-1.9362165143975023,-1.3064977693581286,-4.606724339220877,-1.0632277412827007,3.774657716368961,3.5433932936494905,-1.157667668425827,-1.0539915330604692,-1.862620170835206,2.3174435085037133,-1.0553661699436248,3.7846637647768064,-2.757024548391454,2.2674765144207747,-0.46808862835771814,1.4062670007820763,2.570662247545539,1.8580546480472482,-1.7386806708251226,-1.7202788182176825,3.3729815294042504,0.13258579527828696,-1.6835872376591665,-3.605536072778745,2.314663002555029,0.9647224339798766,-2.0160000474365303,2.134273612344354,-0.46182856722550136,-2.611292734632734,-1.897529276194809,2.666776532517627,2.373759822708211,1.5094132071601103,-0.6204665187029546,3.7058977268155395,-1.0790950703977789,2.347290654131689,-2.876371142716057,3.7515058066261573
6,-1.4631591925504153,-1.5275826520023554,-5.106724339220877,-0.5632277412827007,3.50072009291112,3.883747207803627,-1.1963797222074664,-0.7872630499550043,-1.3896734526137258,1.9506714462321717,-1.014885114562096,3.3730228912940285,-2.579223759288204,2.198807762920708,0.03191137164228186,0.9062670007820763,2.070662247545539,1.9524525719586228,-1.486524637403575,-1.7984660938240917,2.8729815294042504,0.2676113197258225,-1.5629952503578737,-3.20403702928973,2.748254592807444,0.46472243397987656,-2.233663087975979,1.8506464702990721,-0.5632461467611398,-3.111292734632734,-2.114917470555029,2.958988285921574,2.2070334158130946,1.627941303386578,-0.6753239137332905,3.5515806222631476,-1.2883920617391074,1.847290654131689,-2.376371142716057,3.2515058066261573
7,-1.5151374228292076,-1.0559728423854553,-5.12,-1.0632277412827007,4.00072009291112,3.383747207803627,-0.9086867735612925,-0.6330694059960194,-0.8896734526137258,1.4506714462321717,-0.6461276049444409,3.8730228912940285,-2.079223759288204,1.698807762920708,0.38191137164228184,0.5562670007820764,1.5706622475455392,1.9070726784308125,-1.219751587377905,-1.2984660938240917,2.3729815294042504,0.4308353437834433,-2.062995250357874,-3.561758575566601,2.4687349733660935,-0.03527756602012344,-1.733663087975979,1.662684145449493,-0.06324614676113982,-2.611292734632734,-1.6149174705550289,3.0591112314432456,1.7070334158130946,1.6891772004480479,-1.074131713528168,3.0515806222631476,-0.9996182480662092,1.3869153444336446,-1.876371142716057,2.8716803059889875
8,-2.0151374228292074,-0.5789575661147853,-4.62,-1.247131001853532,4.50072009291112,3.883747207803627,-0.9541777172677679,-0.13306940599601935,-1.3896734526137258,1.3142717453406847,-0.18523970498068382,4.1861976018426805,-1.6075603674921282,1.276092203328468,-0.11808862835771816,0.9315183509004151,1.7847693462049328,1.6051586146985581,-0.719751587377905,-0.886806152255698,1.8729815294042504,0.6077061949359326,-2.1718394433693815,-3.061758575566601,1.9687349733660935,0.11200768041173034,-1.233663087975979,2.162684145449493,0.31953652328429416,-2.111292734632734,-1.4968260103095539,2.8903010387259136,1.4720305358265668,1.4677027011876853,-1.1442696735947904,2.5515806222631476,-0.49961824806620925,1.3727708875659184,-1.376371142716057,2.3716803059889875
9,-1.6731706688551817,-0.8335158114603064,-4.12,-0.747131001853532,4.00072009291112,3.383747207803627,-0.5168824484592374,0.36693059400398065,-1.4827450942886902,1.8142717453406847,-0.016548325918776446,3.974552820776513,-1.1075603674921282,1.2170388081748886,-0.34204957705162875,1.1734733169297384,1.442757505009419,1.7259058165866668,-0.219751587377905,-0.3930211978826238,1.7206731686186514,0.11333733207443747,-1.6718394433693815,-2.561758575566601,1.512124487737856,0.39249632356335995,-1.733663087975979,2.2988728134683907,0.019792611220368794,-1.9595645261070551,-1.9968260103095539,2.3903010387259136,0.9720305358265668,1.235191061086012,-0.8457208115722394,2.390681849082992,-0.3782833541085563,1.4638663682082134,-1.4802051853563496,2.1627357183544693
10,-1.6981308816105785,-0.3335158114603064,-3.62,-0.24713100185353198,4.50072009291112,3.0043384717732176,-0.8650800114311841,0.8669305940039806,-1.0747567656084331,2.2521573446660677,0.12196279572571192,3.474552820776513,-0.6075603674921282,1.088405157571215,0.15795042294837125,1.1507740252734902,1.257510612201021,2.0014982714760907,-0.5707658640161387,-0.17582201286124965,1.2206731686186514,0.05698676199809505,-1.4125943520009185,-2.061758575566601,2.012124487737856,0.2117191522078223,-2.233663087975979,1.9072633613982302,-0.18858148734116184,-1.4595645261070551,-1.4968260103095539,2.7870216960328857,0.5458431237150669,0.9649510670989287,-0.7331237045303303,2.1706703717708065,-0.8782833541085563,1.3479735163443674,-1.8929706740042684,1.6627357183544693
11,-1.9877531032426297,-0.809266804968644,-3.12,-0.5290420458757599,4.00072009291112,2.5043384717732176,-1.1122308009282935,0.36693059400398065,-0.7261360605359192,2.243462555475546,0.0015896472300516162,3.974552820776513,-0.8646390490656223,0.9541488188534154,0.14569729748003488,1.0571630608407778,0.9332719794818956,2.0546566602107865,-0.8476360322714223,-0.6329000724155067,0.7206731686186514,0.15157105954374392,-1.9125943520009185,-2.561758575566601,1.5680521368070357,0.231927830723099,-1.733663087975979,1.4563107586723574,0.044025420623973605,-1.194710331958845,-1.48801561923122,2.6059310219362852,0.83474338472029,1.044946784835302,-1.1245480790394875,1.8397618450446276,-1.100742413190606,1.8479735163443674,-1.4403121992820838,2.0677010673396334
12,-1.4877531032426297,-0.6984021794732753,-2.62,-0.7162780590960574,3.50072009291112,2.0043384717732176,-0.6768848246345486,-0.13306940599601935,-0.80288223866596,2.135229857134794,-0.07702242306311136,3.773266746611129,-0.8941131683972449,0.8487991008262333,-0.0769263370230572,0.9180158113116156,0.43327197948189555,1.781945998346088,-0.5277358796975844,-0.7408467997904042,0.9015383103343254,0.2244785716267209,-1.8679481414739563,-2.760758465405364,1.629536126228536,0.35426875026282906,-1.233663087975979,1.7881150788660964,0.18956208497574026,-0.694710331958845,-1.98801561923122,2.626054979276287,0.7219993822603553,1.0830261554795577,-1.3134819964945468,2.3397618450446274,-0.8472756216417447,2.0884713309746137,-1.9403121992820838,2.5677010673396334
13,-1.1675765155345057,-0.4573008743835151,-3.12,-0.21627805909605735,3.00072009291112,1.5043384717732176,-0.3733886588782705,-0.3841072171052865,-0.7610129927552236,1.635229857134794,0.022273555692596467,3.273266746611129,-0.6374616939819314,0.8463382816518998,-0.1506253957935458,0.79354280286283,0.9332719794818956,2.0414378046352906,-0.3175656331567489,-0.2498173943272275,1.1721971247253893,0.26103319599507924,-1.4570838401200186,-2.2845992123662784,2.129536126228536,0.149315152115842,-1.733663087975979,1.7294091668690947,-0.19125992419213386,-0.6686267198695972,-1.6701029541600874,2.126054979276287,0.6850581918685251,1.0667538542489756,-0.9700857118676021,2.569826543219852,-0.946497567411473,1.7123066908743267,-2.2081592753181143,2.3505861549846134
14,-1.6675765155345057,-0.29841493498839833,-3.461900974226734,0.28372194090394265,2.50072009291112,1.0815403668103087,-0.46249626121172605,0.1158927828947135,-0.726468558401531,1.9231170638583803,0.08555868767779326,3.6235087388479474,-0.923392999447842,0.9846249101411362,0.14774427011851263,1.0048188542163496,1.1394199534939657,2.1719815089688623,-0.8175656331567489,0.24045527096634112,1.2225155629732907,0.04551053174056868,-1.8564921013950704,-2.0251260056636564,1.629536126228536,0.3607266063626815,-1.9421362281913312,2.061551940209502,0.02936165883084038,-1.1686267198695972,-1.1701029541600874,1.626054979276287,0.8582113401600431,0.9968692889253785,-0.5271153005274944,2.6310190260276345,-0.891331129853587,1.9990717788034755,-1.7430148625645703,2.221915005087018
15,-1.512294660113103,-0.2441431364798587,-2.961900974226734,0.5794959502558972,2.00072009291112,0.7401727111477003,-0.6340910704564693,0.6158927828947135,-0.33552545472659645,2.18346554536782,-0.08179561128036991,4.086918556070319,-0.8303657095914017,1.0630996529830254,0.15927437717663523,0.9983892425242551,0.6394199534939657,1.7415750617596428,-0.9043043333538205,-0.2595447290336589,0.7660769273719846,0.16366727628423858,-1.8032519380268357,-1.5251260056636564,1.6684758721833435,0.48307005579984147,-1.856264098699133,2.0571732394144315,0.16458845262810037,-1.6686267198695972,-1.6701029541600874,2.126054979276287,0.6819812685264812,0.9231953223585132,-0.044037140642982364,2.7542331327492775,-1.2320981444194528,1.8772580895033901,-1.4316451723349446,2.590122988846799
