iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,5.722911806041074,0.6967514421272203,4.587341334219212,7,0.7,2.0,0.0
1,5.722911806041074,0.4021950155233765,4.607156764753165,5,0.7,2.0,0.0
2,5.376801299954348,0.432915025411657,3.5613925515056644,6,0.7,2.0,0.0
3,5.376801299954348,0.37499471882215896,3.526584089801409,5,0.7,2.0,0.0
4,5.376801299954348,0.3335488634457743,3.5945597237495717,4,0.7,2.0,0.0
5,5.376801299954348,0.2661103506843723,3.6248481534081627,3,0.7,2.0,0.0
6,5.376801299954348,0.27056373023766644,3.5326075954665144,6,0.7,2.0,0.0
7,5.376801299954348,0.26148848415973197,3.5023381255782353,7,0.7,2.0,0.0
8,2.0510459640599876,0.17372723422396746,4.300860359060969,5,0.7,2.0,0.0
9,2.0510459640599876,0.15091389129219562,4.259807555119068,6,0.7,2.0,0.0
10,2.0510459640599876,0.15498559280442772,4.262433551674979,5,0.7,2.0,0.0
11,2.0510459640599876,0.10627827799834824,4.279923300571231,5,0.7,2.0,0.0
12,2.0510459640599876,0.09167392776891714,4.317200380069363,6,0.7,2.0,0.0
13,2.0510459640599876,0.1159046083949026,4.3085852687858655,3,0.7,2.0,0.0
14,2.0510459640599876,0.07029993544799865,4.297653052884277,3,0.7,2.0,0.0
15,2.0510459640599876,0.08809127001990333,4.277647812232891,4,0.7,2.0,0.0
16,2.0510459640599876,0.0747096464544514,4.27594387936253,5,0.7,2.0,0.0
17,2.0510459640599876,0.061572941126090894,4.28036990311803,8,0.7,2.0,0.0
18,2.0510459640599876,0.042664585888785536,4.285624508947258,9,0.7,2.0,0.0
19,2.0510459640599876,0.06452122012139425,4.290231412943202,9,0.7,2.0,0.0
20,2.048427508979824,0.0482885432654636,4.267921387474255,6,0.7,2.0,0.0
21,2.048427508979824,0.031140661008715254,4.266467600930229,9,0.7,2.0,0.0
22,2.048427508979824,0.0323124673143627,4.253851813350296,8,0.7,2.0,0.0
23,2.048427508979824,0.028574479387215967,4.254065514539996,5,0.7,2.0,0.0
24,2.048427508979824,0.03379975776940007,4.269330597993106,7,0.7,2.0,0.0
25,2.048427508979824,0.02459822440235589,4.27980120093172,8,0.7,2.0,0.0
26,2.048427508979824,0.031209807861790312,4.26535727926713,6,0.7,2.0,0.0
27,2.048427508979824,0.021541515015746953,4.258163121777906,8,0.7,2.0,0.0
28,2.048427508979824,0.02506806307405492,4.259374585129327,5,0.7,2.0,0.0
29,2.048427508979824,0.015384173817303842,4.259874107228631,6,0.7,2.0,0.0
30,2.004353112973174,0.01466934728263811,4.2717547439046895,9,0.7,2.0,0.0
31,2.004353112973174,0.026062793356015274,4.268892986439547,5,0.7,2.0,0.0
32,2.004353112973174,0.01971947152233929,4.266438978798868,7,0.7,2.0,0.0
33,2.004353112973174,0.01263246846110159,4.2662561145053886,5,0.7,2.0,0.0
34,2.004353112973174,0.01164054787243574,4.265846826682968,6,0.7,2.0,0.0
35,2.004353112973174,0.008880405888048547,4.267492658389518,4,0.7,2.0,0.0
36,2.004353112973174,0.011532246535923711,4.2686440423280425,6,0.7,2.0,0.0
37,2.004353112973174,0.008623741121687357,4.270430833695085,6,0.7,2.0,0.0
38,2.004353112973174,0.010527101840505686,4.268652030451552,7,0.7,2.0,0.0
39,2.004353112973174,0.010504674906239747,4.2653358593958215,5,0.7,2.0,0.0
40,2.004353112973174,0.0071949847819387045,4.267230512806268,5,0.7,2.0,0.0
41,2.0019530008851945,0.007406070294789411,4.267447018723706,7,0.7,2.0,0.0
42,2.0019530008851945,0.006902797228970997,4.270463861585839,7,0.7,2.0,0.0
43,2.0019530008851945,0.009890564294058485,4.266434736400705,8,0.7,2.0,0.0
44,2.0019530008851945,0.005879117646613306,4.264204745076146,6,0.7,2.0,0.0
45,2.0019530008851945,0.010524839777738972,4.2641057787539545,6,0.7,2.0,0.0
46,2.0019530008851945,0.006192685100676573,4.265598609756046,7,0.7,2.0,0.0
47,2.0019530008851945,0.012672029942932095,4.265603451799999,7,0.7,2.0,0.0
48,2.0019530008851945,0.01039807380514084,4.264580041229491,6,0.7,2.0,0.0
49,2.0019530008851945,0.0063986345295828405,4.263485183275742,7,0.7,2.0,0.0
50,2.0013446882953403,0.011962503948724858,4.262893678576875,8,0.7,2.0,0.0
51,2.0008635554867027,0.010381078466183094,4.265457257240524,8,0.7,2.0,0.0
52,2.0008635554867027,0.004712769348612515,4.2674147873047055,6,0.7,2.0,0.0
53,2.0008635554867027,0.007853050321660369,4.265543923888034,8,0.7,2.0,0.0
54,2.0008635554867027,0.005417765362180083,4.26443839763113,10,0.7,2.0,0.0
55,2.0008635554867027,0.003110818978841558,4.264385337428836,8,0.7,2.0,0.0
56,2.0008635554867027,0.004619403966165248,4.266102589027255,8,0.7,2.0,0.0
57,2.0008635554867027,0.003957947467679926,4.267522936192829,8,0.7,2.0,0.0
58,2.0008635554867027,0.00257479902897285,4.266425451361046,9,0.7,2.0,0.0
59,2.0008635554867027,0.0023296586516682377,4.265768756317315,10,0.7,2.0,0.0
60,2.0008010795360107,0.0012619674790899757,4.2660929433939785,10,0.7,2.0,0.0
61,2.0008010795360107,0.0013302994004096727,4.266530015669977,8,0.7,2.0,0.0
62,2.0008010795360107,0.001083769415036492,4.266762348907024,10,0.7,2.0,0.0
63,2.0008010795360107,0.0007142462244430199,4.266771913992934,9,0.7,2.0,0.0
64,2.0008010795360107,0.0009329415789199301,4.26650296990258,9,0.7,2.0,0.0
