iter,p0_x0,p0_x1,p1_x0,p1_x1,p2_x0,p2_x1,p3_x0,p3_x1,p4_x0,p4_x1,p5_x0,p5_x1,p6_x0,p6_x1,p7_x0,p7_x1,p8_x0,p8_x1,p9_x0,p9_x1,p10_x0,p10_x1,p11_x0,p11_x1,p12_x0,p12_x1,p13_x0,p13_x1,p14_x0,p14_x1,p15_x0,p15_x1,p16_x0,p16_x1,p17_x0,p17_x1,p18_x0,p18_x1,p19_x0,p19_x1
0,3.1223027582612435,3.437718160544656,3.2049520411007038,3.3560554888903864,2.7422129393281516,2.7936400020487917,2.813278685359447,3.2792607899370982,3.320925783844842,3.052557508848668,2.6970296244962126,2.5756791032536244,3.7004191889982243,3.795254388533619,3.7807064762332208,3.4171211976933846,2.9044095154567273,2.728573407661028,3.011101368441037,2.212320576754003,3.7744434322346176,2.992170529027795,2.990225759062347,3.73565605067159,3.292218414317678,2.6450012829543503,2.7385999008081052,3.4704379660400257,2.9749769240671555,2.8594258326218758,2.5072994232810486,2.7230530923258893,3.5056060536329827,2.281803726421883,2.929551863609489,2.643139600804519,3.477410704042122,2.9130899978152267,2.6583239397753164,3.3336347449730863
1,2.6223027582612435,2.937718160544656,2.7049520411007038,3.3988615790992647,3.2422129393281516,2.2936400020487917,3.071269199046456,3.7792607899370982,3.6008882013908803,2.552557508848668,3.1970296244962126,2.0756791032536244,3.2004191889982243,3.6810276333466967,3.2807064762332208,3.4003132686299464,2.4044095154567273,2.228573407661028,3.2824495155528783,2.712320576754003,3.2744434322346176,2.492170529027795,3.490225759062347,3.23565605067159,3.792218414317678,2.772021477838043,2.5470553392757727,3.9704379660400257,2.4749769240671555,2.3594258326218758,2.9924854873935502,3.2230530923258893,3.942995101397314,2.781803726421883,3.429551863609489,3.143139600804519,3.222769385528867,2.4130899978152267,2.855385637181537,2.8336347449730863
2,2.731872938219439,2.499214189749027,3.0138689594188754,2.938531808718014,2.998663419301096,2.3188290103319824,3.124399740947142,3.764577378892172,3.1008882013908803,2.926464134041749,3.3835964573038786,2.4436963779925254,2.711784360557404,3.1810276333466967,2.7807064762332208,3.2492229624753164,2.9044095154567273,2.728573407661028,3.249125998683839,3.1275250024824572,2.9481281111534177,2.992170529027795,2.990225759062347,2.9324418106873926,3.788252533778854,2.9590986816075877,2.977957024407848,3.4704379660400257,2.8321055995417326,2.8594258326218758,3.3213863820796106,3.413578981110938,3.442995101397314,3.17467761494824,3.1825417974401455,3.2419921930879694,3.090684358009093,2.9130899978152267,3.040624507377873,2.507244616065569
3,3.015648348831964,2.999214189749027,3.222009007198066,2.6518797190486323,2.784633877507943,2.797542627420301,2.8590732322839103,3.264577378892172,2.6008882013908803,3.219832643469229,2.8835964573038786,2.5478470885327607,2.601081976691332,2.6810276333466967,2.507052970668622,2.785525073697453,3.3015723160359594,3.228573407661028,2.749125998683839,2.6275250024824572,2.7197073863965775,3.342170529027795,2.596899703230296,2.7693739974864027,3.288252533778854,3.1215142243369574,3.279541264756731,2.9704379660400257,3.3057720305244493,3.253239679378838,3.057623564241911,3.2832423564183646,2.942995101397314,3.1209698289201073,2.6825417974401455,2.7419921930879694,2.869015866905426,3.367263389163491,3.027640160885742,2.6593465251308332
4,3.2142911362607314,3.349214189749027,3.0128074530075413,3.1425245755109836,2.8231327398478108,2.7826779742444394,2.9712508521906886,3.477437176839258,3.1008882013908803,3.2527890084080453,2.802252704682809,2.6384581665068843,2.6787488785849187,2.7634983861170292,2.5899162941457123,2.915774629521326,3.362701922984443,3.2373476343394443,2.575740110643936,2.1275250024824572,3.0640248755307455,2.842170529027795,2.9694476973333574,3.013601598899509,3.267464893186712,3.096852364653424,3.141823255876361,2.6326017778381217,3.109622665488555,3.0744946887859417,2.8057163089560397,2.8188567025380116,2.597158914436096,2.916290139687307,2.6654214425306684,2.32076878421929,3.043216745028372,3.1185817944535077,2.9279715944676354,3.0162095422743445
5,3.0240026321587066,3.101546498841237,2.853836533183093,3.1062318385245824,3.141317115757969,2.781668856488555,3.068211478647748,3.6058463187216696,3.2849564929437265,2.793026481251241,3.0776924353995394,2.9030541921982707,3.055642365830144,3.2634983861170292,2.660118722190593,3.0080162236409325,2.862701922984443,3.044135057652515,2.838251493210703,2.6275250024824572,3.1909150730344287,2.741398529206235,3.2302312932055006,3.1845609198886837,3.6001880564112114,2.9390108275031745,2.894850079920306,3.1231313036754433,2.8336881166006753,2.670827075046244,2.9030186895064958,2.626970449440181,2.6816879549925003,3.07856968719033,2.7690322983888747,2.82076878421929,3.1608815191795654,2.6816662923859393,2.8731579886224297,3.2650543456423002
6,2.812048570724352,2.7134677670387872,3.1152306440729727,2.965551871918425,3.1985088441470437,2.6778078124241267,3.00007298719539,3.6290423284427393,3.0056513697212845,2.619509356228239,3.251066152440595,3.2067466937074736,3.208541107008725,3.4427414230396,2.7435951774575975,3.0800873458429203,2.5988446479978813,2.8927761922754227,3.262736810924383,2.9802417743205116,3.1209097324705475,2.984366523265364,3.0523008475100877,3.056133263868399,3.7520105694891366,2.851905411062068,2.7926855795707692,3.4085498740052174,2.8148585400818633,2.7049112821340775,3.092961730282063,3.126970449440181,3.1816879549925003,3.1438705630328383,2.9178774745415987,3.32076878421929,3.0221292307013172,2.812877200282002,2.9162619318479757,3.125451213047098
7,3.070768859008717,2.642403467422361,3.0891231286949377,2.8803723692597334,2.924720966589423,2.7107025541263594,2.993906896790553,3.1430922700178217,2.794431015562445,2.62934951391652,2.9198009215607086,3.2891116619397534,3.128850334089589,2.9427414230396,2.809573890702864,3.1195459979524607,2.8820263057476794,3.124291611645118,3.1053853427028555,2.8088711459613815,2.934310753266137,3.1667790240156206,2.8051434268064686,2.8855376680820153,3.2520105694891366,3.063009570099859,2.9439915577830047,3.337255187904083,3.047153812752036,2.998532899403525,3.2046641553525785,3.3825000022662293,3.29512749545404,3.036323966476131,2.914870900998421,2.9547996659034887,2.9663244978562,3.066137104623543,2.9872614102044306,2.8320182122411413
8,3.0401213402608747,3.035933102790293,2.916166644409971,2.9661745264358466,2.896500517859219,2.6091341596337427,2.9577653644560553,2.6430922700178217,2.9527713496581462,3.0921120925953187,2.8988033204491845,2.8419462106667255,2.945743949043971,2.6894159724056665,2.87420149472037,3.134065065105052,3.102834101809398,3.0311671769928625,2.9068798946008214,2.3088711459613815,2.8189227038367135,3.0317269826338515,2.8042273194357503,2.9418065187075855,2.7520105694891366,3.1536059447143923,3.0103744693803978,3.015392333874416,3.133800321513568,3.204510776027612,3.091068266245171,3.09079097130725,2.886739510457883,3.051805188321755,2.9365194374202512,2.756106453825071,2.9304569273789656,3.2230109330066132,2.9948513426813137,2.9776796541625785
9,2.961203112753353,3.20803643408152,2.894396172680708,3.0116753155527913,3.0351005782190184,2.815847613778265,3.0094849980585123,3.1430922700178217,3.10546388189712,3.260949862951544,2.9988624321489055,2.74088005507409,3.0452633842621335,2.7978165278541014,3.0783157182526817,3.055037531080726,3.22063889505544,2.9548384253274578,2.8320724113427747,2.1313914194994474,3.0324097234472953,2.87110677735787,3.0149024016271175,3.0148014973086505,3.2520105694891366,2.9183526134112237,3.041743661568382,2.7561353544801057,2.9463097564391894,3.1708365923703745,2.9341596190446886,2.8108244839316874,2.744400918166476,2.9979265517226175,2.976799479829446,2.9143623230657174,3.0154591018173305,2.873848598869757,3.000164295415132,3.0796426635075846
