iter,p0_x0,p0_x1,p1_x0,p1_x1,p2_x0,p2_x1,p3_x0,p3_x1,p4_x0,p4_x1,p5_x0,p5_x1,p6_x0,p6_x1,p7_x0,p7_x1,p8_x0,p8_x1,p9_x0,p9_x1,p10_x0,p10_x1,p11_x0,p11_x1,p12_x0,p12_x1,p13_x0,p13_x1,p14_x0,p14_x1,p15_x0,p15_x1,p16_x0,p16_x1,p17_x0,p17_x1,p18_x0,p18_x1,p19_x0,p19_x1,p20_x0,p20_x1,p21_x0,p21_x1,p22_x0,p22_x1,p23_x0,p23_x1,p24_x0,p24_x1,p25_x0,p25_x1,p26_x0,p26_x1,p27_x0,p27_x1,p28_x0,p28_x1,p29_x0,p29_x1,p30_x0,p30_x1,p31_x0,p31_x1,p32_x0,p32_x1,p33_x0,p33_x1,p34_x0,p34_x1,p35_x0,p35_x1,p36_x0,p36_x1,p37_x0,p37_x1,p38_x0,p38_x1,p39_x0,p39_x1
0,3.653954456620311,-0.21993134191092167,3.3653206337395565,-1.9824963823342183,1.174169708499309,4.735728991101179,4.465461019396545,-0.04817065941005616,0.20390766537635763,4.103454908021882,-4.998393610099831,1.3238033285664565,4.979432582449017,-0.022507150738463544,4.165527060422966,-1.6476266304699654,2.438829098728772,-3.2920872152675296,-0.8232889589232819,0.6955900309992629,4.424991994557144,-0.4181474349853751,2.92681065056654,-3.2109818931236216,-2.0977496605939803,5.029458379672264,-3.2134359807039403,-2.242337694798588,-2.0244414092433987,0.0798716221117699,4.1683165507027224,-4.937963150609293,1.4397978454716487,-3.9709274303167548,-3.169706221093147,-3.749253622779281,4.65716508112378,-0.8869838369908702,3.0461786075822674,2.404314741994553,0.10530833889305669,-0.43225825478923063,-4.068732534559748,1.5592977422146257,-3.9731426309761,-3.3438691743899076,-0.512383475965402,1.583865853646504,-0.43693759132552934,-1.5215575274289925,4.8645302109470725,-4.479946771394536,-0.1031773048189315,-3.2819558442064816,-1.4817949552672487,2.8751295275157123,3.5151471178360483,-1.1641799295748423,-5.093876516406234,-1.7112064235438869,1.4418923585489987,-3.3798132579764273,-4.525469562653849,-4.4016289268800755,3.103357922756346,-0.8312736279270085,0.750053683304909,-1.4402457722547921,-3.673943737085068,-2.714846016754509,2.6514377763294794,1.689690322630086,-1.907099524728169,-2.373052132177793,-5.023086566872898,-0.4343960250940313,2.796812670362703,1.8687721708184304,1.4773847717308675,2.296949158228487
1,4.153954456620311,-0.7199313419109217,3.8653206337395565,-1.4824963823342183,0.674169708499309,5.12,3.965461019396545,-0.5481706594100562,-0.2960923346236424,4.603454908021882,-5.12,0.8238033285664565,4.479432582449017,0.47749284926153646,3.762793584862017,-1.8963352352381597,1.938829098728772,-2.7920872152675296,-0.3232889589232819,1.1955900309992629,3.9249919945571436,0.0818525650146249,2.42681065056654,-3.7109818931236216,-2.5977496605939803,4.529458379672264,-2.7134359807039403,-2.742337694798588,-2.5244414092433987,-0.4201283778882301,4.268426195818384,-5.12,1.4734971262566234,-3.4709274303167548,-3.669706221093147,-4.249253622779281,4.15716508112378,-0.38698383699087024,3.5461786075822674,1.9043147419945532,-0.3946916611069433,0.06774174521076937,-3.5687325345597483,2.0592977422146257,-3.4731426309761,-2.8438691743899076,-1.012383475965402,1.083865853646504,0.06306240867447066,-1.0215575274289925,4.3645302109470725,-4.979946771394536,-0.6031773048189315,-3.7819558442064816,-1.8534647388331278,3.3751295275157123,3.5160696806726435,-0.6641799295748423,-5.12,-1.2112064235438869,0.9418923585489987,-2.8798132579764273,-5.025469562653849,-3.9016289268800755,2.603357922756346,-0.33127362792700854,0.25005368330490896,-0.9402457722547921,-3.173943737085068,-2.214846016754509,2.3650831514789195,2.189690322630086,-1.5072561349391222,-2.873052132177793,-4.523086566872898,0.0656039749059687,2.296812670362703,1.3687721708184304,1.9773847717308675,1.7969491582284869
2,3.653954456620311,-1.1216789468747461,3.3653206337395565,-0.9824963823342183,0.17416970849930902,4.62,3.465461019396545,-0.9202393456883482,0.15914363523950537,4.103454908021882,-4.62,0.32380332856645655,3.979432582449017,-0.022507150738463544,3.262793584862017,-1.76908765257678,1.438829098728772,-2.2920872152675296,-0.23485477570315244,0.8391994387613291,3.4249919945571436,-0.4181474349853751,2.222615211118234,-3.2109818931236216,-2.0977496605939803,4.034524328009057,-2.7250754870643745,-2.401611712249781,-2.0244414092433987,-0.6033776972422324,3.7684261958183836,-4.62,0.9734971262566234,-2.9709274303167548,-3.418926971874076,-3.749253622779281,3.6571650811237797,-0.6707862714111005,3.0461786075822674,1.8565283887996715,-0.2573117681094654,-0.14133114980147743,-3.0687325345597483,2.164681859288477,-2.9731426309761,-2.662551727446416,-0.9874642085102212,0.583865853646504,0.41306240867447064,-0.6715575274289926,3.8645302109470725,-4.479946771394536,-0.6743426851801222,-3.2819558442064816,-1.3534647388331278,2.8751295275157123,3.0160696806726435,-0.5811703340136305,-4.62,-0.7642661913445714,0.44189235854899866,-2.3798132579764273,-4.525469562653849,-3.4016289268800755,2.103357922756346,-0.7272389932379539,-0.24994631669509104,-0.6063217926168414,-2.673943737085068,-1.714846016754509,1.8650831514789195,2.077633986687724,-1.0072561349391222,-2.560912953616393,-4.023086566872898,-0.4343960250940313,1.7968126703627032,0.8687721708184304,1.4773847717308675,1.3154843089121626
3,3.153954456620311,-1.3757653103258922,2.8653206337395565,-0.6437101860836469,0.057162955994877404,4.12,3.0179960651989903,-1.3143154878204366,0.3842079785756352,3.603454908021882,-4.12,-0.17619667143354345,3.479432582449017,-0.5225071507384635,2.762793584862017,-1.6163104958133678,0.938829098728772,-1.7920872152675296,0.06446327172719024,0.3391994387613291,2.9249919945571436,-0.9181474349853751,1.7226152111182338,-2.7109818931236216,-1.5977496605939803,3.5345243280090566,-3.063208933542965,-1.9016117122497809,-1.5244414092433987,-0.16689524286037538,3.2684261958183836,-4.12,0.47349712625662344,-2.4709274303167548,-2.918926971874076,-3.249253622779281,3.1571650811237797,-0.6936813356894294,2.5461786075822674,1.3565283887996715,0.01755919195888994,-0.6413311498014774,-2.5687325345597483,1.6646818592884771,-2.4731426309761,-2.162551727446416,-0.4874642085102212,0.08386585364650401,0.4292221300664695,-0.9161873757126399,3.3645302109470725,-4.002240227221734,-0.1743426851801222,-2.7819558442064816,-0.8534647388331278,2.3751295275157123,2.5160696806726435,-1.0811703340136305,-4.12,-1.120134170562918,0.2222278285185745,-1.8798132579764273,-4.025469562653849,-2.9016289268800755,1.603357922756346,-1.227238993237954,-0.26040835037834786,-0.8747453028870187,-2.173943737085068,-1.214846016754509,1.3650831514789195,1.577633986687724,-0.5072561349391222,-2.060912953616393,-3.523086566872898,-0.9343960250940313,1.2968126703627032,0.4017626947672046,0.9773847717308675,0.8154843089121626
4,2.653954456620311,-1.307535846146224,2.3653206337395565,-0.8869502972462462,-0.01939333593319774,3.62,2.5179960651989903,-1.3177789020568815,0.14664952766922298,3.103454908021882,-3.62,-0.6761966714335435,2.979432582449017,-0.7860248903418985,2.262793584862017,-1.8115465284546732,0.463285092935093,-1.3113048308914372,-0.0512541331676854,-0.16080056123867092,2.4249919945571436,-1.4035909245755267,2.222615211118234,-2.2109818931236216,-1.0977496605939803,3.0345243280090566,-2.563208933542965,-1.4016117122497809,-1.0244414092433987,-0.6668952428603754,2.7684261958183836,-3.62,-0.026502873743376565,-2.118917826691474,-2.418926971874076,-2.749253622779281,2.6571650811237797,-0.9787118227311822,2.0461786075822674,1.4665741980407487,0.03066185583855851,-1.0244153929846855,-2.0687325345597483,1.1646818592884771,-1.9731426309761,-1.662551727446416,-0.10600773304930389,-0.416134146353496,0.20567529293498532,-1.2900414474235578,2.8645302109470725,-3.519460426803981,0.2560204765222536,-2.2819558442064816,-0.3534647388331278,1.8751295275157123,2.0160696806726435,-1.0592435716445983,-3.62,-1.2531270372335515,0.7222278285185745,-1.806955589941357,-3.525469562653849,-2.4016289268800755,1.103357922756346,-0.8792938499770877,0.23959164962165214,-1.1238057554057497,-1.673943737085068,-0.8269408581239196,0.8650831514789195,1.077633986687724,-0.00725613493912225,-1.560912953616393,-3.023086566872898,-1.3594267008172314,1.2444534997240433,-0.09823730523279539,0.5600955578106824,0.3154843089121626
5,2.153954456620311,-0.957060574201585,1.8653206337395565,-1.064174592110631,0.01747217131351772,3.12,2.0179960651989903,-0.984889472175988,-0.11858061497888453,2.603454908021882,-3.12,-0.6575256974426802,2.479432582449017,-0.42622518826566236,1.7627935848620169,-1.3115465284546732,0.3645218093316439,-1.0686554093434297,-0.05745257621152344,-0.6608005612386709,1.9249919945571436,-0.9035909245755267,1.7226152111182338,-1.7109818931236216,-0.5977496605939803,2.5345243280090566,-2.063208933542965,-1.542017562354143,-0.5244414092433987,-0.8364710666539277,2.2684261958183836,-3.12,-0.3120061263416085,-1.618917826691474,-1.9189269718740758,-2.249253622779281,2.1571650811237797,-1.2420461498908444,1.5461786075822674,0.9665741980407487,0.039833720554326504,-1.2925743632129312,-1.5687325345597483,0.6646818592884771,-1.4731426309761,-1.162551727446416,-0.5667370851478362,-0.6983126653804114,-0.15625982530182736,-1.2741667027054207,2.3645302109470725,-3.019460426803981,0.28285524774369175,-1.7819558442064816,0.1465352611668722,1.3751295275157123,1.5160696806726435,-1.0032509007150816,-3.12,-1.079189705789161,0.49069695293119653,-2.306955589941357,-3.025469562653849,-1.9016289268800755,0.6033579227563459,-0.7418019161351946,0.5148215426277496,-1.1595887060591232,-1.173943737085068,-0.9595197499879694,0.36508315147891945,0.577633986687724,0.3707433289637945,-1.060912953616393,-2.523086566872898,-1.2817543546458152,0.7444534997240433,-0.5982373052327954,0.07316486836675867,-0.18451569108783739
6,1.653954456620311,-0.7207554967234971,1.3653206337395565,-1.1380715010803601,0.05928414756851044,2.62,1.5179960651989903,-0.8071054810162718,-0.11190526614581318,2.103454908021882,-2.62,-0.16796051025051723,1.979432582449017,-0.04490973944625554,1.2627935848620169,-1.3524550347748898,0.7066610759181626,-1.1921327238617432,0.061453550765006706,-0.4218187287768821,1.4398323654126242,-0.7109890807685102,1.2226152111182338,-1.2109818931236216,-0.24796696445129424,2.6702266090450077,-1.563208933542965,-1.491503491907821,-1.0244414092433987,-0.3364710666539277,1.7684261958183836,-2.622357446753211,0.0008364696654905579,-1.321382981823864,-1.4189269718740758,-1.749253622779281,1.6571650811237797,-1.1217323378863884,1.131784225951003,0.46657419804074873,0.03567384492913678,-1.0502442995304728,-1.0687325345597483,0.16468185928847712,-0.9731426309761,-0.9428041601916249,-0.586666537245754,-0.49527110514040473,-0.24981847659785383,-0.7741667027054207,1.8645302109470725,-2.519460426803981,0.2654143696368977,-2.2819558442064816,-0.3534647388331278,0.8751295275157123,1.3850955037283625,-1.0041192330542952,-2.62,-0.9066516388520538,0.44461864458102174,-2.188680625402077,-2.525469562653849,-1.4016289268800755,0.3055814468803981,-0.9017615305148688,0.02123720076793767,-0.8052128018322544,-0.673943737085068,-1.1112517535540438,0.5135261929893873,0.1475538290992362,0.2831296357419123,-0.6665330506396918,-2.023086566872898,-1.0692246263465333,0.31408481325366877,-0.8216599957228283,-0.31210507958041817,-0.6845156910878374
7,1.153954456620311,-0.7993194393488762,0.8653206337395565,-1.1002159144418733,0.04817705040830619,2.12,1.0179960651989903,-0.7979908409323218,0.04206851074149294,1.6034549080218818,-2.4012276191787363,-0.1692353244682402,1.479432582449017,0.01725542597546198,0.7627935848620169,-1.224907117086054,0.9020376930368891,-1.339439544758581,0.12334495035154658,-0.1379878365744605,0.9398323654126242,-0.9018753165272736,0.7226152111182338,-0.7742169869463,-0.7046553364788886,2.1702266090450077,-1.063208933542965,-1.2947541101577331,-0.9697839897913418,0.16352893334607232,1.2684261958183836,-2.122357446753211,0.23665315134044568,-1.6847713025729258,-0.9189269718740758,-1.249253622779281,1.1571650811237797,-1.0529957873122957,1.5483507105537226,-0.03342580195925127,0.026953215772793384,-0.8565557588341609,-0.5687325345597483,-0.3353181407115229,-0.4731426309761,-0.8815345563699961,-0.08666653724575402,0.004728894859595267,0.25018152340214617,-0.8062315018779131,1.3645302109470725,-2.520864647274286,-0.09590343378495414,-1.7819558442064816,-0.42642238357793405,0.37512952751571227,0.8850955037283625,-1.0566533186664657,-2.12,-1.1240055023327926,0.15476636458111415,-2.605674476708894,-2.025469562653849,-0.9016289268800755,0.8055814468803981,-1.1315641102328455,-0.3199117199436878,-0.6755620445280215,-0.17394373708506805,-1.039613010738785,0.7761876068782055,-0.3524461709007638,0.2795777936432082,-1.0514840875144824,-1.5230865668728981,-0.8740101218309406,0.2810447765676438,-0.6879214113149734,-0.10207931115385069,-0.9796914850382138
8,0.653954456620311,-1.2091377284502216,0.3653206337395565,-1.0516366293542665,0.031313347695140006,1.62,1.2286643003756055,-0.9647413582740764,2.729668554042608e-05,1.1034549080218818,-1.9012276191787363,-0.5564534243456152,0.9794325824490171,-0.482744574024538,0.2731668405745882,-1.0462293183261158,0.4020376930368891,-1.7229478066121648,-0.17772481573193216,-0.3894417075073205,0.43983236541262416,-1.075774142680045,0.2226152111182338,-1.0188390748684828,-0.9312414800760072,1.6702266090450077,-0.5632089335429651,-1.3634269926653142,-1.4697839897913418,-0.3364710666539277,0.7684261958183836,-1.622357446753211,0.3700590608188985,-1.95464179777333,-0.4189269718740758,-0.749253622779281,0.6571650811237797,-0.9674193811202494,1.0483507105537226,0.46657419804074873,0.024901343804338536,-1.0603472425159377,-0.06873253455974826,-0.8353181407115229,-0.20776143247192458,-1.1022696981509572,0.350764471058855,-0.49527110514040473,0.30202655613771817,-1.3062315018779131,1.4718739158831078,-2.020864647274286,-0.21156967291443352,-1.2819558442064816,0.003707804820866689,-0.11791276289728536,0.38509550372836254,-1.0549626863270765,-1.62,-1.240668491017798,0.6547663645811141,-2.232063211427362,-1.525469562653849,-0.6735649094252865,0.7751217226721364,-0.8907851949590989,0.05653920281028396,-1.072536526645294,0.32605626291493195,-0.9799223072446499,0.9951847989010808,0.1475538290992362,0.20785269306377785,-1.3073151568476993,-1.0230865668728981,-0.9399650679889501,0.7810447765676438,-0.18792141131497342,0.16153934471435408,-1.2101567138065392
9,1.153954456620311,-0.929942485176902,-0.13467936626044352,-1.050750065390525,0.034735501569782355,1.12,0.7286643003756055,-1.0881436293881013,-0.022706401680765126,0.6034549080218818,-1.4012276191787363,-1.0564534243456152,0.8549693541568187,-0.9207760522738135,-0.22683315942541182,-0.9142911053902812,-0.09796230696311092,-1.9641402876584166,-0.25933695418497404,-0.7086755589940297,0.030258393655305416,-1.1189674701152719,-0.2773847888817662,-1.1929745966016496,-0.43124148007600716,1.1702266090450077,-1.063208933542965,-1.3650683031653283,-1.2170398777564075,-0.8364710666539277,0.26842619581838356,-1.2171916733289052,-0.1299409391811015,-1.45464179777333,0.0810730281259242,-1.249253622779281,0.1571650811237797,-0.9273474726817307,1.5483507105537226,0.013493439817401365,0.028454449319324962,-1.1453481610682563,0.3747922249030651,-1.2828745262801253,-0.7077614324719246,-1.2396820196205733,0.2874936047829141,-0.9952711051404047,-0.15570155928525725,-1.2617700477210254,0.9718739158831078,-1.5208646472742862,0.041479829356523334,-1.09425428846674,0.3293932215403695,-0.6179127628972854,-0.0042860047475954954,-1.0248395251013684,-1.6284102096168616,-1.161945442143367,0.7437189022127955,-2.610723467796676,-1.025469562653849,-1.110076230981654,0.4332281256471191,-0.7954486888146612,0.29215892659398457,-1.2988320478851196,-0.08579767037282571,-1.015935814276571,0.5546298449274707,-0.172671251061299,-0.004462289467546815,-1.1528001220640198,-0.5230865668728981,-0.9980312696270176,0.6013620536816361,-0.06972363460617031,-0.06071874270603633,-1.304689832425789
