iter,p0_x0,p0_x1,p1_x0,p1_x1,p2_x0,p2_x1,p3_x0,p3_x1,p4_x0,p4_x1,p5_x0,p5_x1,p6_x0,p6_x1,p7_x0,p7_x1,p8_x0,p8_x1,p9_x0,p9_x1,p10_x0,p10_x1,p11_x0,p11_x1,p12_x0,p12_x1,p13_x0,p13_x1,p14_x0,p14_x1,p15_x0,p15_x1,p16_x0,p16_x1,p17_x0,p17_x1,p18_x0,p18_x1,p19_x0,p19_x1
0,-2.08320642061884,1.656843092395297,1.4722664159456134,-1.9400493292861403,-0.6657418712040215,-1.5949206694608096,-0.8930994915469901,0.7276564446165557,-0.4833016532057739,-2.8613522836929373,-4.344375230034068,1.1489304643163916,2.7293169366639063,-2.2782130570103734,-2.6987890209813545,-2.0170509181384206,-4.414957043010532,0.144768685093009,-0.46382305507464494,-4.925875169592278,-0.11970831371244017,1.4180652992294016,-1.1168496786691744,-2.55022824320855,-2.970181224737438,1.09176086355345,0.4661186495959688,-4.115631558325681,4.380829247816261,1.5936027191484898,0.19888477096993729,2.070964554481244,2.6353068824580497,1.88630049164653,0.899557479096023,2.8769479814571692,3.191890556318362,0.5252308525541132,0.9060933210998314,-0.28682395793326254
1,-2.14491684984609,1.456843092395297,1.2722664159456134,-2.1400493292861404,-0.8657418712040215,-1.3949206694608096,-0.6930994915469901,0.5276564446165557,-0.6833016532057739,-3.0613522836929374,-4.1443752300340675,0.9741437589858656,2.5589235886131085,-2.078213057010373,-2.4987890209813544,-1.8170509181384207,-4.214957043010532,-0.055231314906991014,-0.6638230550746449,-4.725875169592277,-0.3197083137124402,1.4097173030660506,-1.3168496786691744,-2.3502282432085497,-2.7915665517245847,1.2917608635534499,0.2661186495959688,-3.915631558325681,4.180829247816261,1.7936027191484898,0.15727274676639613,1.9365766832570095,2.4353068824580495,1.8055062387926215,0.6995574790960231,2.676947981457169,3.0960738432020936,0.7252308525541131,0.780081386647139,-0.08682395793326253
2,-1.9449168498460903,1.656843092395297,1.199771558563147,-1.9450894756340142,-0.7128973696622812,-1.2241436863769921,-0.6323461542813362,0.7276564446165557,-0.538037060749596,-2.8613522836929373,-3.9443752300340673,0.96453852578308,2.3589235886131084,-1.8782130570103732,-2.329125670698002,-1.9677259799010356,-4.014957043010532,0.1111271060704987,-0.5000369064431734,-4.525875169592277,-0.13874740630157564,1.4798259997857857,-1.1168496786691744,-2.1502282432085496,-2.5915665517245845,1.2158962181006987,0.2163198409445571,-3.715631558325681,3.980829247816261,1.864462727156379,0.1489503419256879,1.9096991090121627,2.2353068824580493,1.992421731873043,0.6679456368549243,2.8769479814571692,2.8960738432020934,0.7728677739553788,0.6786166726136201,0.11317604206673748
3,-1.7449168498460903,1.7231177709517775,1.1245214607945015,-1.7450894756340143,-0.5128973696622812,-1.0392109916003964,-0.4757645448157849,0.8280589750487692,-0.4781857944202485,-3.0568316799441404,-3.744375230034067,1.16453852578308,2.158923588613108,-1.6782130570103733,-2.1291256706980017,-1.7677259799010356,-3.8149570430105317,0.3111271060704987,-0.32810098201455606,-4.38929496303658,-0.05815682723803978,1.5156758714579959,-0.9168496786691744,-2.0128460348022887,-2.530663554625253,1.2299747786259059,0.24786941959260222,-3.5156315583256807,3.7808292478162606,1.8903363151101944,0.1541826574122808,1.915300131838905,2.035306882458049,2.0256917874916884,0.8679456368549243,2.746763142393477,2.696073843202093,0.9728677739553788,0.763840310746571,-0.08682395793326253
4,-1.854853141288387,1.5231177709517776,0.9245214607945016,-1.9450894756340142,-0.4816015538233143,-1.088927085520879,-0.675764544815785,0.6280589750487693,-0.6781857944202485,-3.0345765004466054,-3.8629733664782337,1.0984530295416854,1.993843020244091,-1.6989874626045658,-1.9291256706980018,-1.7612127269449702,-3.6762597937729646,0.1111271060704987,-0.5281009820145561,-4.18929496303658,-0.058074223218380405,1.3866483113642492,-0.8768496786691744,-1.9853695931210367,-2.730663554625253,1.029974778625906,0.1774880672296969,-3.715631558325681,3.5808292478162604,1.6903363151101944,0.02681975382144347,1.715300131838905,1.8353068824580492,1.8256917874916885,0.6679456368549244,2.546763142393477,2.496073843202093,0.7728677739553789,0.6952839318833219,-0.28682395793326254
5,-1.8591688130882535,1.3343332485282542,0.7245214607945016,-2.0003099462456215,-0.5687097002225772,-1.230765262678159,-0.8757645448157849,0.4280589750487693,-0.7387696791334257,-2.8377299593523184,-4.060046919169491,0.8984530295416855,1.7938430202440911,-1.7342764410028357,-1.807114154014706,-1.767205850352062,-3.8342973212053524,-0.08887289392950132,-0.6043581590086514,-3.9892949630365795,-0.09049072204419864,1.1866483113642492,-0.9011228358302799,-2.0164975057938435,-2.768348749596014,0.829974778625906,0.007743515420324115,-3.5156315583256807,3.3808292478162603,1.4903363151101945,-0.03977534518615461,1.515300131838905,2.035306882458049,1.6256917874916885,0.8679456368549243,2.3467631423934767,2.4529248700939905,0.5728677739553789,0.4952839318833219,-0.16714989795974539
6,-1.7554961866162486,1.1343332485282542,0.7431948081547827,-1.9710093912109334,-0.5414243802735498,-1.3198793582109045,-0.9315153429843614,0.6280589750487693,-0.7790685717865324,-2.7541222034794646,-3.8600469191694904,0.9315461045776008,1.7064774082494354,-1.7368399983231253,-1.7730790530352392,-1.8262651787884985,-3.634297321205352,-0.2655193451476865,-0.666103072177056,-3.7892949630365793,-0.2904907220441987,0.9866483113642492,-0.9185450552957483,-2.021824328036678,-2.9683487495960144,0.629974778625906,0.20774351542032413,-3.715631558325681,3.18082924781626,1.2903363151101945,0.1602246548138454,1.315300131838905,2.062026611771665,1.8256917874916885,0.7356843885485725,2.1467631423934765,2.632254797316981,0.3728677739553789,0.2952839318833219,-0.3671498979597454
7,-1.5554961866162487,0.9636568242822969,0.8073146405780388,-1.9541311019713663,-0.511211540792305,-1.1198793582109046,-0.8664371982124512,0.5841223232983187,-0.7196699393256697,-2.730356145038817,-3.66004691916949,0.9245469849256885,1.688469103276047,-1.689997002657431,-1.802565202774079,-1.815614793123607,-3.8342973212053524,-0.11697391887166464,-0.6413161626141625,-3.803831085124769,-0.25534930803413103,0.7866483113642493,-0.9207956045397433,-2.014445878915598,-2.768348749596014,0.43984943066772964,0.1392701003055096,-3.8132298036721908,3.3808292478162603,1.0903363151101946,0.00309093140480432,1.115300131838905,1.8620266117716648,1.6256917874916885,0.8557912986387136,2.3467631423934767,2.6557633325238434,0.1728677739553789,0.4952839318833219,-0.16714989795974539
8,-1.55096886312572,1.1636568242822969,0.6641335218352609,-1.7541311019713663,-0.465264868829501,-0.9198793582109046,-0.7647950814065498,0.7841223232983188,-0.548446909175221,-2.530356145038817,-3.8600469191694904,0.9798959390880048,1.8564225164846853,-1.489997002657431,-1.602565202774079,-1.6156147931236071,-3.634297321205352,0.08302608112833537,-0.5424144077929036,-3.603831085124769,-0.10786705067498376,0.9866483113642492,-0.7207956045397432,-1.814445878915598,-2.6788718034535455,0.6089303730371965,0.10657730678391301,-3.6132298036721906,3.4572583571888305,1.2903363151101945,-0.0283358132770039,1.075300131838905,1.726051193944449,1.8256917874916885,0.7750315733171583,2.546763142393477,2.6560268731621495,0.3728677739553789,0.6952839318833219,0.032850102040254625
9,-1.4238386398441505,1.1796937475492302,0.8641335218352608,-1.754281274245817,-0.4920452235366538,-0.7198793582109047,-0.6728108941529366,0.8334797704561899,-0.7473594211107663,-2.4154481167348902,-3.66004691916949,0.965230566284938,1.943276604002735,-1.689997002657431,-1.802565202774079,-1.4156147931236072,-3.8342973212053524,0.22739681887872806,-0.4176349217863403,-3.5373244703947124,-0.0756390594599679,1.044428418017923,-0.6982904849484939,-1.614445878915598,-2.698170893305943,0.8089303730371966,0.11973623942968295,-3.4132298036721904,3.6572583571888306,1.4903363151101945,-0.034621162213365544,1.067300131838905,1.926051193944449,2.0256917874916884,0.7978153846039229,2.518835931731991,2.5732032231165785,0.5728677739553789,0.6835215166052179,-0.0003001057561762138
