iter,p0_x0,p0_x1,p1_x0,p1_x1,p2_x0,p2_x1,p3_x0,p3_x1,p4_x0,p4_x1,p5_x0,p5_x1,p6_x0,p6_x1,p7_x0,p7_x1,p8_x0,p8_x1,p9_x0,p9_x1,p10_x0,p10_x1,p11_x0,p11_x1,p12_x0,p12_x1,p13_x0,p13_x1,p14_x0,p14_x1,p15_x0,p15_x1,p16_x0,p16_x1,p17_x0,p17_x1,p18_x0,p18_x1,p19_x0,p19_x1
0,4.440111388196226,-4.895174023828033,-2.8646432843981304,-0.907978821742776,-4.361844323608009,-2.375462172796381,-0.38411050732449237,-1.9153869338191076,4.154621535404586,2.402851410397269,-3.8807693888293366,5.071579497803353,-3.781101625128084,0.36380235126008387,-0.5805163402568381,-0.9369358593465584,4.854508936814699,5.076428389958655,4.31856080241296,4.253302180848594,0.2391819487051121,-1.520580584281464,0.3368985351447744,-5.009888582733598,-0.1541352425158804,-0.009704524236944678,-3.25789604573799,-2.774611433430605,-4.012140443614266,-0.6227453712290787,-2.681818136314474,0.012170554172160841,2.0821780122812106,-4.68898380595498,2.0245992834842097,3.4084186526664135,-4.950175186717635,-3.2504795025934925,2.4656824301999505,-2.6173685657257044
1,4.240111388196226,-4.695174023828033,-2.6646432843981303,-0.707978821742776,-4.161844323608009,-2.575462172796381,-0.19532553863577737,-1.8732718468886986,3.954621535404586,2.4475074269594668,-4.080769388829337,4.935318228469496,-3.581101625128084,0.2787065683961899,-0.7314082300702609,-0.7369358593465585,4.654508936814699,4.8764283899586545,4.11856080241296,4.053302180848593,0.4391819487051121,-1.320580584281464,0.5368985351447744,-4.809888582733598,-0.3541352425158804,0.19029547576305533,-3.05789604573799,-2.974611433430605,-4.212140443614266,-0.4227453712290787,-2.481818136314474,-0.18782944582783917,2.0902993272338435,-4.888983805954981,1.8245992834842097,3.2084186526664134,-4.750175186717635,-3.4302451596442443,2.2656824301999503,-2.4173685657257042
2,4.040111388196226,-4.495174023828032,-2.66444936574496,-0.713226123025045,-3.961844323608009,-2.375462172796381,-0.1524728016179242,-1.689020920416414,3.7546215354045858,2.2475074269594666,-3.8807693888293366,4.735318228469496,-3.4190968520977902,0.29066418872024335,-0.6372787165892457,-0.9369358593465584,4.454508936814698,4.895174077737562,3.9185608024129595,3.9805281172126525,0.2391819487051121,-1.120580584281464,0.46768759206215277,-4.609888582733598,-0.21544729531212786,-0.009704524236944678,-2.8578960457379896,-2.774611433430605,-4.012140443614266,-0.6227453712290787,-2.681818136314474,0.012170554172160841,1.8902993272338435,-4.68898380595498,1.6245992834842098,3.008418652666413,-4.795784880793178,-3.3085072421722193,2.1413880542791044,-2.217368565725704
3,3.8401113881962257,-4.295174023828032,-2.86444936574496,-0.7274778110386573,-3.761844323608009,-2.1754621727963808,-0.19621471153730316,-1.489020920416414,3.5546215354045856,2.0475074269594664,-3.6807693888293365,4.664282444253432,-3.2968366528607684,0.25098463424229456,-0.5804909444733204,-0.8676029130705031,4.254508936814698,4.695174077737562,3.7185608024129593,3.7805281172126524,0.08290698609330288,-0.920580584281464,0.26768759206215276,-4.409888582733598,-0.11308355886454481,-0.049704524236944686,-3.0272521347328274,-2.5746114334306047,-3.8121404436142656,-0.6172387012213507,-2.481818136314474,0.050596312804767,1.6902993272338436,-4.888983805954981,1.4245992834842098,2.808418652666413,-4.595784880793178,-3.108507242172219,1.9413880542791044,-2.017368565725704
4,3.6401113881962255,-4.095174023828032,-2.66444936574496,-0.6087791488213713,-3.5618443236080086,-1.9754621727963808,-0.19997060452955198,-1.4003137385072344,3.3546215354045854,1.8475074269594665,-3.5176418757201953,4.8642824442534325,-3.0968366528607683,0.18288384145512593,-0.4519842492120585,-0.8553543846697665,4.183578259515321,4.7552492139425615,3.518560802412959,3.580528117212652,0.03197112399408515,-0.7993045715048305,0.21542746342254798,-4.484343355068594,-0.0926108115750282,-0.057704524236944686,-2.827252134732827,-2.3746114334306045,-3.6636129187887,-0.48767389738748335,-2.281818136314474,0.013738524223128996,1.7554682743770909,-4.68898380595498,1.6245992834842098,3.008418652666413,-4.795784880793178,-3.2696987383712566,1.7413880542791045,-1.855176573871253
5,3.4401113881962253,-3.895174023828032,-2.6938072128977995,-0.8087791488213714,-3.3618443236080084,-2.121684484743174,-0.1899218150806869,-1.6003137385072344,3.1546215354045852,1.6475074269594665,-3.3754731434174636,4.664282444253432,-2.896836652860768,0.10988794644311356,-0.6519842492120584,-0.7779305846599288,3.983578259515321,4.648740456313068,3.318560802412959,3.7805281172126524,0.017181559417379037,-0.9875713608902901,0.13647838202151263,-4.684343355068594,-0.08851626211712488,-0.05930452423694468,-2.8551839486656383,-2.1746114334306044,-3.468834619721929,-0.4718605255423746,-2.0818181363144737,0.001666733295283853,1.555468274377091,-4.48898380595498,1.7337541684686562,2.808418652666413,-4.595784880793178,-3.0696987383712564,1.5413880542791045,-1.8004629428483618
6,3.2744023009762078,-3.6951740238280317,-2.4938072128977993,-1.0074939189257197,-3.163090731617131,-2.060700308010103,-0.16071251336387696,-1.704118370641333,2.954621535404585,1.4475074269594665,-3.1754731434174635,4.698065543554141,-2.703481124002859,-0.09011205355688645,-0.5173157007231475,-0.9713780871756711,3.7991613530656148,4.448740456313068,3.518560802412959,3.580528117212652,0.014223646502037814,-1.025224718767382,0.11307002717959624,-4.6245668810667455,-0.07320510568921124,-0.1553180765839558,-3.0551839486656385,-2.3746114334306045,-3.6688346197219293,-0.6718605255423746,-1.8818181363144737,-0.19833326670471615,1.7554682743770909,-4.334619175191984,1.7556184984657173,2.608418652666413,-4.395784880793178,-3.0762805943441642,1.7413880542791045,-1.9454161865040807
7,3.0744023009762076,-3.593659646259011,-2.293807212897799,-1.0122764253845804,-2.9630907316171307,-2.0351908714600118,-0.21075816726517912,-1.8330873660371427,2.754621535404585,1.2475074269594666,-2.9754731434174633,4.756387895248688,-2.9034811240028593,-0.1216262862498225,-0.5392929293113263,-1.0026945927664481,3.5991613530656146,4.4307698671530975,3.318560802412959,3.380528117212652,0.014863190453654212,-0.9788362048656832,0.12412098744951908,-4.424566881066745,-0.061474236504980816,-0.08412840116216533,-2.8551839486656383,-2.311343939112758,-3.468834619721929,-0.6622497356919197,-1.6818181363144737,-0.0750413186598663,1.9554682743770908,-4.534619175191984,1.5777204364510644,2.808418652666413,-4.514378766166008,-2.876280594344164,1.9413880542791044,-2.0843871647337604
8,2.8744023009762074,-3.3936596462590107,-2.4938072128977993,-0.8277758510810811,-2.7630907316171305,-2.029893196731876,-0.14317286308917238,-1.6719546155825042,2.6171065228878025,1.0475074269594666,-2.775473143417463,4.556387895248688,-2.7269271233767944,0.07837371375017751,-0.5756270503688887,-0.9833498726452926,3.6301665268830505,4.230769867153097,3.1185608024129587,3.580528117212652,0.018302779006854657,-0.9906713266147018,0.15568188392054808,-4.443041725806438,-0.041577151060683736,-0.11583853005686676,-2.655183948665638,-2.5113439391127583,-3.3467849835843295,-0.7473941075168755,-1.7964528481217423,-0.2750413186598663,1.9796685511564713,-4.57750850100288,1.6602265037949688,2.608418652666413,-4.314378766166008,-3.0762805943441642,1.7413880542791045,-2.0059681045895292
9,2.702430512285835,-3.1936596462590106,-2.352331312455596,-0.9243021864844075,-2.5630907316171303,-1.9328943826371885,-0.13922562441435912,-1.8719546155825042,2.4171065228878024,0.8865946408276846,-2.575473143417463,4.392075663445232,-2.597340750359441,-0.1216262862498225,-0.5474317409693712,-0.9413970166099389,3.4301665268830503,4.030769867153097,3.318560802412959,3.7805281172126524,0.01728959513015201,-0.9879278405253954,0.1276855172663856,-4.243041725806438,-0.03196575578113593,-0.2578368744071736,-2.7477302642462385,-2.486641831651114,-3.1467849835843293,-0.6682185571472693,-1.9964528481217423,-0.0750413186598663,2.0707768650903353,-4.37750850100288,1.4602265037949689,2.808418652666413,-4.117881049336523,-2.959793533346451,1.5413880542791045,-1.8059681045895293
