iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,9.029449322437603,0.6967514421272203,4.27993573923216,13,0.7,2.0,0.0
1,9.029449322437603,0.45994456780665666,4.246437933817972,7,0.7,2.0,0.0
2,9.029449322437603,0.3744724103121612,4.200277915834379,7,0.7,2.0,0.0
3,9.029449322437603,0.38571179112790627,4.152263691577973,6,0.7,2.0,0.0
4,9.029449322437603,0.29179199275837026,4.119535478695768,5,0.7,2.0,0.0
5,9.029449322437603,0.2857738760294879,4.03217709638923,5,0.7,2.0,0.0
6,9.029449322437603,0.2459363586435296,3.9883508082870636,5,0.7,2.0,0.0
7,6.877371858293371,0.24432987896636904,4.281827861127734,7,0.7,2.0,0.0
8,6.877371858293371,0.24254306741505335,4.287836679943522,4,0.7,2.0,0.0
9,6.877371858293371,0.2218419436692781,4.188153336032189,8,0.7,2.0,0.0
10,6.877371858293371,0.19826879068277103,4.134204288570006,6,0.7,2.0,0.0
11,4.20095278202913,0.18946541986887794,3.4269816146909817,5,0.7,2.0,0.0
12,4.20095278202913,0.184458275716114,3.4646821337769955,8,0.7,2.0,0.0
13,4.20095278202913,0.1454269053081871,3.4662716252653802,6,0.7,2.0,0.0
14,4.20095278202913,0.12003805455529597,3.461336247238485,8,0.7,2.0,0.0
15,4.20095278202913,0.09517714784003707,3.4359500869076536,5,0.7,2.0,0.0
16,4.20095278202913,0.08250769036419768,3.449382007871351,7,0.7,2.0,0.0
17,4.20095278202913,0.09133444556669815,3.4364424790334622,6,0.7,2.0,0.0
18,4.20095278202913,0.07929853827737071,3.4404299226783466,4,0.7,2.0,0.0
19,4.20095278202913,0.04115524796622575,3.4501297435061935,7,0.7,2.0,0.0
20,4.20095278202913,0.08272409709180413,3.461414981772838,5,0.7,2.0,0.0
21,4.20095278202913,0.08166144379679134,3.483507442687183,6,0.7,2.0,0.0
22,4.20095278202913,0.04567803968747904,3.4588574825677254,8,0.7,2.0,0.0
23,4.20095278202913,0.057942177542351425,3.4363396294656616,8,0.7,2.0,0.0
24,4.20095278202913,0.046913566367060906,3.450579895757887,6,0.7,2.0,0.0
25,4.20095278202913,0.047585616762393076,3.4592838374497625,7,0.7,2.0,0.0
26,4.20095278202913,0.03894804199531777,3.474054105725133,7,0.7,2.0,0.0
27,4.20095278202913,0.02487117345601767,3.472671744870947,8,0.7,2.0,0.0
28,4.20095278202913,0.04357673019217204,3.446639405954314,8,0.7,2.0,0.0
29,4.153703663482288,0.029342477393894173,3.9180258979328793,10,0.7,2.0,0.0
30,4.045705976720765,0.03624235416084828,3.9140642674016126,10,0.7,2.0,0.0
31,4.002576003412258,0.028080653965580033,3.9299486323781174,10,0.7,2.0,0.0
32,3.9883694878660236,0.02253978133443779,3.9468802911098586,12,0.7,2.0,0.0
33,3.986275585861673,0.033979750517206656,3.9401928881350323,12,0.7,2.0,0.0
34,3.986275585861673,0.019036577930707656,3.929407441820063,10,0.7,2.0,0.0
