iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,5.8107120262125775,0.6865879555769181,3.944172246204091,12,0.7,2.5,0.5
1,5.8107120262125775,0.6139384119798789,3.465471811014666,8,0.7,2.5,0.5
2,5.8107120262125775,0.5907757410883999,3.066939845914021,8,0.7,2.5,0.5
3,4.136018683675193,0.5172073824359009,2.933177496394719,7,0.7,2.5,0.5
4,4.136018683675193,0.5529851023388199,2.6582621025281084,6,0.7,2.5,0.5
5,0.7660910349073866,0.5052255336045522,2.38953482558514,8,0.7,2.5,0.5
6,0.7660910349073866,0.5321447740353404,2.0897299228377166,6,0.7,2.5,0.5
7,0.7660910349073866,0.45436355458244637,1.981313858458136,4,0.7,2.5,0.5
8,0.7660910349073866,0.44063420082492233,1.997185845658581,4,0.7,2.5,0.5
9,0.7660910349073866,0.42642311838367586,1.9199586283308379,3,0.7,2.5,0.5
10,0.7660910349073866,0.4482360732413704,1.8101853041098912,2,0.7,2.5,0.5
11,0.7660910349073866,0.4024205222782153,1.6847767275840166,6,0.7,2.5,0.5
12,0.7660910349073866,0.46135472143986656,1.5705020413668163,5,0.7,2.5,0.5
13,0.7660910349073866,0.420406200588131,1.4707268027923808,0,0.7,2.5,0.5
14,0.7660910349073866,0.40517963967477727,1.4585744207916074,2,0.7,2.5,0.5
15,0.7660910349073866,0.34245136477136345,1.450683383397092,4,0.7,2.5,0.5
16,0.7660910349073866,0.3078494733958065,1.4038880147733726,2,0.7,2.5,0.5
17,0.7660910349073866,0.33373216331228844,1.3497994848176988,3,0.7,2.5,0.5
18,0.7660910349073866,0.34694573297075393,1.424634887112997,1,0.7,2.5,0.5
19,0.7660910349073866,0.34331028595155916,1.315749613711268,0,0.7,2.5,0.5
20,0.7660910349073866,0.38311898468270933,1.3112551915125923,1,0.7,2.5,0.5
21,0.7660910349073866,0.3620389675216882,1.3527720366183766,2,0.7,2.5,0.5
22,0.7660910349073866,0.3796647945229861,1.335361152912056,1,0.7,2.5,0.5
23,0.7230413698889144,0.3824665787631675,1.2640086856444643,3,0.7,2.5,0.5
24,0.5479142576217413,0.31227241873422995,1.2339255308831167,3,0.7,2.5,0.5
25,0.5479142576217413,0.3590206103639378,1.2124050363816,2,0.7,2.5,0.5
26,0.5410260802898961,0.3204229254925496,1.2114009989297374,3,0.7,2.5,0.5
27,0.5410260802898961,0.35071064298074694,1.2071932703221957,0,0.7,2.5,0.5
28,0.04143466207904467,0.3175422511773343,1.2148045192964108,3,0.7,2.5,0.5
29,0.04143466207904467,0.32685655148756676,1.2059042931788329,1,0.7,2.5,0.5
30,0.04143466207904467,0.2983026699967682,1.1841582813033527,3,0.7,2.5,0.5
31,0.04143466207904467,0.3138069310587507,1.198725512694424,0,0.7,2.5,0.5
32,0.04143466207904467,0.32536998005285866,1.2169118852737242,2,0.7,2.5,0.5
33,0.04143466207904467,0.42703551062164313,1.1933274884787903,3,0.7,2.5,0.5
34,0.012544002502199447,0.3215888105306361,1.1914214050928065,1,0.7,2.5,0.5
35,0.012544002502199447,0.2739819568646951,1.137662825343778,5,0.7,2.5,0.5
36,0.012544002502199447,0.31471476572308543,1.0918059725619234,3,0.7,2.5,0.5
37,0.007781083049607673,0.3414738685183046,1.0242249785087272,2,0.7,2.5,0.5
38,0.007781083049607673,0.3068535721460819,0.9634508591542115,1,0.7,2.5,0.5
39,0.007781083049607673,0.3188952600259224,0.9966195571621806,1,0.7,2.5,0.5
40,0.007781083049607673,0.30737262278289995,0.9672457086915017,3,0.7,2.5,0.5
41,0.004433832089560497,0.266830921025705,0.9773196940397433,3,0.7,2.5,0.5
42,0.0017577944720663652,0.2591880468413875,0.9707367457442617,3,0.7,2.5,0.5
43,0.0017577944720663652,0.2678557614096745,0.9315112654373905,3,0.7,2.5,0.5
44,0.0017577944720663652,0.2602607065909824,0.8549861601927511,2,0.7,2.5,0.5
45,0.0005424951990242732,0.3298952891133152,0.8847222761994177,2,0.7,2.5,0.5
46,0.0005424951990242732,0.2867834486188149,0.9624512782772505,0,0.7,2.5,0.5
47,0.00036960334625746327,0.32569337365111706,0.9408295089742204,2,0.7,2.5,0.5
48,0.00036960334625746327,0.31008162504043063,0.8625657280854473,1,0.7,2.5,0.5
49,0.00036960334625746327,0.30095675110122755,0.9311363953412908,0,0.7,2.5,0.5
50,0.00036960334625746327,0.27171117079230295,0.9587915497505527,3,0.7,2.5,0.5
