iter,p0_x0,p0_x1,p1_x0,p1_x1,p2_x0,p2_x1,p3_x0,p3_x1,p4_x0,p4_x1,p5_x0,p5_x1,p6_x0,p6_x1,p7_x0,p7_x1,p8_x0,p8_x1,p9_x0,p9_x1
36,-1.028211048316408,-0.012221799330907012,-1.8172566838534443,-0.7524411438998266,-0.9639196826448012,-0.009239657758450159,-1.667670764401884,-0.5826332974356664,-0.27300753043198855,0.02698268408509974,-0.9951956161868958,-0.030839326202614363,-1.323967445142732,-1.0252303272784284,-0.9356938353913531,0.002325567846560267,-0.8223575686363365,0.0004066561186563105,-1.0443781821975415,-0.38547992939851095
37,-0.9939183611097722,-0.02098803574624971,-1.4435598887963335,-0.6836013836013793,-0.9691095100018329,-0.009168281831938005,-1.294804400775152,-0.33157638408371326,-0.5727251428777689,-0.05188908574203814,-0.996656020909567,-0.031214832432791474,-1.5963928677668044,-1.235790632592359,-0.9035246793412093,-0.015657127130380488,-0.7992287946478227,-0.0046909563720592285,-1.003011839428571,-0.022872930332779984
38,-0.9760487163701773,0.00992465237456664,-1.688905350150077,-0.18360138360137934,-0.9991539797940411,-0.0077731315600406276,-1.2146711351261916,-0.8315763840837133,-0.5453656361712516,-0.5518890857420381,-0.9942841782923152,0.001581866363255649,-1.5142724763480757,-0.8861713884300377,-0.9003279658419383,-0.0041591394681346275,-1.0225220738997585,-0.007292490286270895,-0.9715781157532333,0.23191743978258916
39,-0.9748910880235713,0.022080741129649296,-1.4017663750570084,-0.6836013836013793,-1.0147065289279005,0.00335378162994876,-1.6968761952514342,-0.33157638408371326,-0.3146279014726811,-1.051889085742038,-0.992623888460239,0.024539555520488632,-1.1501071911698013,-0.38617138843003773,-1.0055784957287515,0.01472281763859836,-1.1425373038307969,-0.007342288045857997,-0.9849675731545788,0.04039273876646848
40,-0.9892026113239955,0.007476449146152137,-1.2015978930522735,-0.20773361127389628,-0.995348592503962,0.004182580663981036,-1.1968761952514342,0.007892386641620786,-0.5565435134735783,-0.551889085742038,-0.993493338961773,-0.0030224051558956043,-0.9314256485747312,0.11382861156996227,-1.0760891294823898,0.020995413679476847,-1.007725136208225,-0.000421780056787514,-1.0090836094484281,-0.19139155957104842
41,-1.0024314038685185,-0.008492291747660025,-1.7015978930522735,-0.7012538788274468,-0.9811944088529883,0.003914651402612217,-0.9358172543027966,-0.4921076133583792,-1.0565435134735783,-0.05188908574203799,-0.9957528484958507,-0.019364301583060597,-0.8267809763152422,0.34251871629273944,-0.9585211207766531,0.0050147553846996915,-0.8971107116467444,0.006665051263587976,-1.007281503667623,-0.04515849448091086
42,-0.9961196285570932,0.010726642891554996,-1.762254640843931,-1.0830281752554627,-0.9893421903958648,0.0022574340731766705,-1.1163679658732844,-0.5615993126970542,-1.3927150234571952,0.31188571990482666,-0.9962281781857449,-0.005567005602105702,-0.9279107838850464,-0.07406338383639188,-0.9109883681998424,0.0014810989326059718,-1.0259102812381031,1.0223194140538891e-05,-0.9943746783413744,0.13145601694230274
43,-0.9864276692329818,0.02012407308424661,-1.4876679262802437,-0.9096987095641651,-1.0026105626357877,0.0011906409387080147,-1.3912498378525335,-1.0615993126970542,-1.1995558865333842,0.04010049763595147,-0.9934096087498658,0.016988717336453237,-1.0669233429468201,-0.2865917771533688,-0.9400661093467269,0.003107282505181306,-1.0922438097953273,-0.0050289978001525045,-0.9887448548285843,0.0743050664046843
44,-0.9818724767740716,0.0002779699898967265,-1.117134038953605,-0.9685872555217949,-0.9958372000282726,0.00201526712107417,-1.4956426288829738,-1.1884371320988802,-0.7067211675319902,-0.2740346303838442,-0.99170469773152,0.02473572009950935,-1.1019126454867179,0.025884682365942824,-1.0471426128057029,0.015825800464669783,-0.958825872812189,0.002229450205021478,-1.0082811695634992,-0.07005710570941122
45,-0.9865904639093066,-0.009149340922260791,-0.7854631787363233,-0.4685872555217949,-0.990038865481678,0.002033622802662109,-1.1584621814097735,-0.6884371320988802,-1.043741648060574,-0.014757548679841193,-0.9912806858855288,-0.02069740279055386,-1.0505706491694915,0.20402281752450577,-1.0147889179558955,0.021245242255240722,-0.9111337188122973,0.0058277275909753845,-1.0021298890889307,-0.05699174110033574
46,-0.9996487367949211,0.009217962682647386,-0.865540926373551,-0.040152975022512805,-0.989516052233298,0.0014441722775155909,-1.6584621814097735,-0.18843713209888024,-1.2547243305437965,0.17747340037921,-0.9967780215666655,-0.033053784868937064,-0.8753329601380357,-0.01635872748761591,-0.9747747970531179,0.01216337388569666,-0.9308555284708062,0.0037253449469187147,-0.9956197798443491,-0.02404378462296787
47,-0.9906643340786596,0.01225179914347859,-1.0682327776463196,0.26830899577516987,-0.9922719558907896,0.0017330540773361992,-1.2806694059565307,-0.6884371320988802,-1.1356974172561984,-0.06763000479494835,-0.9948893730853484,-0.008429956305956117,-0.9300575052572011,-0.2431266966128728,-0.98753830371037,-0.004391954033970975,-1.0227590019264095,-0.0010792248813076364,-0.9896302240700517,0.024477527737817154
48,-0.9870576858313024,0.004584390645771779,-1.0142758012098636,0.30105181575308404,-0.9945175619296412,0.00195708559640593,-0.8455290860839945,-1.154608206545631,-0.8596958778155233,-0.09529137989887147,-0.99285632749116,0.011411271433446436,-1.055963868328742,-0.015129599573553476,-1.004664229186469,-0.009533192645610873,-1.0645439456049435,-0.001580227315410126,-0.9878966554444752,0.03636731892084499
