iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,8.766516572030316,0.6993003739494845,3.6518891964484466,6,0.7,1.4,1.4
1,5.212584826456457,0.6082870954678601,3.51632678691098,12,0.7,1.4,1.4
2,2.0501307308075916,0.6509945078479548,2.6501768518429394,7,0.7,1.4,1.4
3,2.0501307308075916,0.6163900325608531,2.1631388394457765,10,0.7,1.4,1.4
4,2.0501307308075916,0.5934677437445848,1.6967439349464786,4,0.7,1.4,1.4
5,2.0501307308075916,0.5420309141477487,1.5081884886236692,7,0.7,1.4,1.4
6,2.0501307308075916,0.5309825585320055,1.185803805692739,5,0.7,1.4,1.4
7,1.140744913740221,0.5323173181021772,0.9192629077015212,4,0.7,1.4,1.4
8,1.140744913740221,0.43102800909594263,0.8566947526534191,3,0.7,1.4,1.4
9,1.140744913740221,0.40586699450065844,0.7686684425805522,2,0.7,1.4,1.4
10,1.140744913740221,0.40780670273636926,0.7180271488165806,2,0.7,1.4,1.4
11,1.0668882191040012,0.4161940945605502,0.5247965898176888,6,0.7,1.4,1.4
12,1.0668882191040012,0.3696986783579806,0.5674936358529045,4,0.7,1.4,1.4
13,1.0668882191040012,0.34617379475712023,0.5050843682013945,6,0.7,1.4,1.4
14,1.0668882191040012,0.32556293220795357,0.44879846531242934,3,0.7,1.4,1.4
15,1.0209410788339426,0.333410594173177,1.0056062125918444,8,0.7,1.4,1.4
16,0.40684054962931526,0.45902603042099444,0.6524812180489309,2,0.7,1.4,1.4
17,0.021547905064963402,0.38434792828769104,0.40148999446329753,5,0.7,1.4,1.4
18,0.021547905064963402,0.33283167031638927,0.41661381897384614,3,0.7,1.4,1.4
19,0.021547905064963402,0.3189926128136008,0.4750845793860373,3,0.7,1.4,1.4
20,0.021547905064963402,0.3014219046711837,0.47040048797881023,1,0.7,1.4,1.4
21,0.021547905064963402,0.32996802322107494,0.4016686314678937,5,0.7,1.4,1.4
22,0.021547905064963402,0.3004867038430229,0.41385079644154227,4,0.7,1.4,1.4
23,0.021547905064963402,0.2890011465212553,0.3395428014198575,2,0.7,1.4,1.4
24,0.021547905064963402,0.2586723469770649,0.20030355997136745,6,0.7,1.4,1.4
25,0.021547905064963402,0.21770928870100445,0.23931629717151734,3,0.7,1.4,1.4
26,0.013759031365189855,0.18740937370485677,0.16939416461368267,5,0.7,1.4,1.4
27,0.013759031365189855,0.17425829207123053,0.14882465165372943,2,0.7,1.4,1.4
28,0.013759031365189855,0.17105261298770885,0.1346959519105994,2,0.7,1.4,1.4
29,0.008178196417823358,0.1490341007952446,0.15522442770599237,1,0.7,1.4,1.4
30,0.005601791203936557,0.12254358227877046,0.18205078797248372,3,0.7,1.4,1.4
31,0.005601791203936557,0.20551883769973317,0.11422960711236352,3,0.7,1.4,1.4
32,0.005601791203936557,0.1035253692659008,0.10365977179336658,2,0.7,1.4,1.4
33,0.004101610697105684,0.153333625492103,0.10793966605063735,2,0.7,1.4,1.4
34,0.002361595872592659,0.10297491194508515,0.15135689107764586,2,0.7,1.4,1.4
35,0.002361595872592659,0.10518016249478616,0.12422482729302778,3,0.7,1.4,1.4
36,0.0012429720058086957,0.10338619534725928,0.10129092656064154,3,0.7,1.4,1.4
37,0.0012429720058086957,0.10520444783781077,0.13052995482458632,2,0.7,1.4,1.4
38,0.0007030842151323213,0.06039110573576177,0.1257668378600073,4,0.7,1.4,1.4
39,0.0007030842151323213,0.10821478628215675,0.12835081497395612,3,0.7,1.4,1.4
40,0.0007030842151323213,0.07855174287125063,0.10114124981168385,2,0.7,1.4,1.4
41,0.0005319601491251547,0.10164540290080196,0.09684379742379695,3,0.7,1.4,1.4
42,8.742983276022187e-06,0.08523875048547654,0.11191842521659545,6,0.7,1.4,1.4
43,8.742983276022187e-06,0.105442596450629,0.06472789909338715,2,0.7,1.4,1.4
44,8.742983276022187e-06,0.062259481444150874,0.0777769681814137,4,0.7,1.4,1.4
45,8.742983276022187e-06,0.07338452139847722,0.06349579816873799,2,0.7,1.4,1.4
46,8.742983276022187e-06,0.07716267331560567,0.10532225744065604,6,0.7,1.4,1.4
47,8.742983276022187e-06,0.07064311075633485,0.08894223654874892,3,0.7,1.4,1.4
48,8.742983276022187e-06,0.05464052183381986,0.10886330315179542,5,0.7,1.4,1.4
49,8.742983276022187e-06,0.07567800826260669,0.06436048123729203,3,0.7,1.4,1.4
50,8.742983276022187e-06,0.05844367962249699,0.04120480493470972,4,0.7,1.4,1.4
