iter,p0_x0,p0_x1,p1_x0,p1_x1,p2_x0,p2_x1,p3_x0,p3_x1,p4_x0,p4_x1,p5_x0,p5_x1,p6_x0,p6_x1,p7_x0,p7_x1,p8_x0,p8_x1,p9_x0,p9_x1
0,-5.070546060401167,2.977965516093424,-5.105634214293205,-4.070954107176468,5.032721909585809,3.455222249821582,4.393790805249844,2.0964771279542918,-3.6341363897001795,-4.045157063512441,-4.1475355683258535,2.514630457885497,-0.6310394393231862,-0.5088074870058445,4.9851719745010685,-3.8687253514690783,4.988712402745647,1.0206651066708687,-4.211643557992101,-4.179873247771375
1,-4.570546060401167,2.477965516093424,-4.913107992337082,-3.570954107176468,5.12,2.955222249821582,4.538874830953269,1.9915688396114752,-3.1341363897001795,-3.545157063512441,-3.6475355683258535,2.014630457885497,-0.13103943932318618,-1.0088074870058445,5.12,-4.368725351469078,4.488712402745647,0.5206651066708687,-3.711643557992101,-3.6798732477713747
2,-4.070546060401167,1.9779655160934242,-4.413107992337082,-3.070954107176468,4.62,2.455222249821582,4.038874830953269,1.4915688396114752,-2.6341363897001795,-3.045157063512441,-3.1475355683258535,1.514630457885497,0.2189605606768138,-1.3588074870058446,4.62,-3.8687253514690783,3.988712402745647,0.020665106670868738,-3.211643557992101,-3.1798732477713747
3,-3.570546060401167,1.4779655160934242,-3.913107992337082,-2.570954107176468,4.12,1.955222249821582,3.5388748309532687,0.9915688396114752,-2.1341363897001795,-2.545157063512441,-2.6475355683258535,1.014630457885497,-0.280146437628608,-1.0083658970675589,4.12,-3.3687253514690783,3.488712402745647,-0.47933489332913126,-2.711643557992101,-2.6798732477713747
4,-3.070546060401167,0.9779655160934242,-3.413107992337082,-2.070954107176468,3.62,1.455222249821582,3.0388748309532687,0.49156883961147524,-1.6341363897001795,-2.045157063512441,-2.1475355683258535,0.514630457885497,-0.48780592150733826,-0.7638656055658078,3.62,-2.8687253514690783,2.988712402745647,-0.3104168461348593,-2.211643557992101,-2.1798732477713747
5,-2.570546060401167,0.4779655160934242,-2.913107992337082,-1.570954107176468,3.12,0.9552222498215821,2.5388748309532687,-0.008431160388524761,-1.1341363897001795,-1.5451570635124412,-1.6475355683258535,0.014630457885496995,-0.07075751555532789,-0.9054247764424719,3.12,-2.3687253514690783,2.488712402745647,-0.619125395017567,-1.711643557992101,-1.6798732477713747
6,-2.070546060401167,0.016399035314665245,-2.413107992337082,-1.070954107176468,2.62,0.4552222498215821,2.0388748309532687,-0.5084311603885248,-0.8866481148525136,-1.2506468642947666,-1.1651982293917005,-0.485369542114503,0.22117636861107937,-1.0045161960561366,2.62,-1.8687253514690783,2.1770165511445705,-0.6493397213769887,-1.211643557992101,-1.5392618990589144
7,-1.570546060401167,-0.48360096468533476,-1.913107992337082,-0.6113884916307247,2.12,-0.0447777501784179,1.5388748309532687,-1.0084311603885248,-0.3866481148525136,-0.7837221103700975,-1.274000052929589,-0.985369542114503,0.3905630893927962,-0.960007139190793,2.12,-1.4256962481201798,1.7227552562109354,-0.2831425326398168,-0.9740869887029855,-2.038027492077332
8,-1.070546060401167,-0.8877410397013374,-1.413107992337082,-0.5222096818437696,1.62,-0.41307972720596625,1.0388748309532687,-1.322538913405933,0.11251877244868069,-0.9558921216902418,-0.7786334171784781,-1.2844867755984581,0.13236708361185817,-0.8187787864841528,1.62,-0.9256962481201798,2.2227552562109354,-0.07619907180524726,-0.4740869887029855,-1.5380274920773318
9,-0.570546060401167,-1.1928112441226917,-0.913107992337082,-0.6108918403100169,1.12,-0.8250507008941935,0.5388748309532687,-1.2595751405743736,0.27111256220149055,-1.0682918230657947,-0.2786334171784781,-1.00172654221707,-0.36763291638814183,-0.8876777568571441,1.12,-0.5486136515728952,1.7227552562109354,-0.5761990718052472,-0.17267308610731585,-1.0585877926997236
10,-0.07054606040116695,-1.019462347693225,-0.41310799233708195,-0.7486612274123203,0.6200000000000001,-0.3250507008941935,0.14641891901231513,-0.8223827382919573,-0.11769859124800902,-1.0439387824859407,0.22136658282152188,-0.7858099007430023,-0.14916806264632612,-0.9597510413448829,0.6200000000000001,-0.4679104759877499,1.2227552562109354,-0.6612010730219362,0.13869106031345874,-1.0468667361101662
11,0.279453939598833,-0.8981181201925983,-0.11048188552473287,-1.0018151474985042,1.12,-0.22503023428983976,-0.35358108098768487,-0.6317875070531754,-0.26362600936388014,-0.9054290538858921,0.31898103309269576,-0.8882172327381155,0.11533008656776597,-0.9881809823525151,0.19851785207009315,-0.9679104759877499,0.7227552562109354,-0.2728820939053927,0.14419789977917502,-1.015443595994504
12,-0.22054606040116698,-0.97907452580357,0.10782663777423995,-1.1990079580595274,1.62,-0.2312785622455591,-0.03450497037365896,-0.6847908561255059,-0.21669727245653664,-0.9825317679567864,0.1021950033539363,-1.2877410401290699,-0.04231660632128581,-0.9463662727124857,-0.30148214792990685,-1.3375277023305787,0.2227552562109354,-0.5053236506963703,0.04787548650649731,-0.9955805270577388
