iter,p0_x0,p0_x1,p1_x0,p1_x1,p2_x0,p2_x1,p3_x0,p3_x1,p4_x0,p4_x1,p5_x0,p5_x1,p6_x0,p6_x1,p7_x0,p7_x1,p8_x0,p8_x1,p9_x0,p9_x1,p10_x0,p10_x1,p11_x0,p11_x1,p12_x0,p12_x1,p13_x0,p13_x1,p14_x0,p14_x1,p15_x0,p15_x1,p16_x0,p16_x1,p17_x0,p17_x1,p18_x0,p18_x1,p19_x0,p19_x1
0,3.2530920098645693,4.94748332378149,-2.011984118201915,0.20073018991379588,-4.091879667679154,-3.578592251239116,-5.098528729336055,2.549318420903263,-5.0707121592884254,-2.178876948239198,3.6159965575512176,0.44841489154081415,-2.725157761635575,-4.757009346029389,-3.103053627106907,-5.077011084036563,-4.375579283521055,3.4772412249493376,-4.747602294894316,4.6611016849277265,-4.702505636020936,-0.6060675588694968,2.5405756522910687,-3.835899227475103,-2.7217344975440585,3.4627147112181964,4.207000869900361,-0.12157964103495633,0.7333785087150728,-4.638520323210225,-2.5181487678146586,-3.780536301097394,-1.6740974504296084,4.756443675811194,1.7546974157078807,-1.0324635926055166,-2.287138505701345,-2.043517454674469,-1.7678889777779707,3.351363255217527
1,2.7530920098645693,5.12,-2.511984118201915,0.7007301899137959,-3.5918796676791542,-3.078592251239116,-4.598528729336055,2.049318420903263,-4.5707121592884254,-2.678876948239198,3.1173342629791856,0.9484148915408142,-3.225157761635575,-4.257009346029389,-2.603053627106907,-5.12,-4.875579283521055,2.9772412249493376,-5.12,4.1611016849277265,-5.12,-0.8462041332028013,2.0405756522910687,-3.335899227475103,-2.2217344975440585,2.9627147112181964,3.7070008699003614,-0.6215796410349563,1.2333785087150728,-5.12,-2.0181487678146586,-3.280536301097394,-2.1740974504296084,4.256443675811194,1.2546974157078807,-1.5324635926055166,-2.787138505701345,-2.543517454674469,-2.2678889777779707,3.851363255217527
2,2.2530920098645693,4.62,-2.011984118201915,0.4296164004793789,-3.144959734215568,-2.578592251239116,-4.098528729336055,1.5493184209032629,-4.0707121592884254,-2.178876948239198,2.6173342629791856,0.44841489154081415,-3.1386211722742545,-3.757009346029389,-2.103053627106907,-4.62,-5.02766830913782,2.4772412249493376,-5.110371825379933,3.6611016849277265,-4.62,-0.9253295808216193,1.5405756522910687,-2.835899227475103,-1.8340655051614694,2.4627147112181964,3.2070008699003614,-0.12157964103495633,0.7333785087150728,-4.62,-1.6630628207238987,-2.780536301097394,-2.5099706646703592,3.7564436758111936,0.7546974157078807,-1.0324635926055166,-2.287138505701345,-2.043517454674469,-2.596380501057853,3.351363255217527
3,1.7530920098645693,4.12,-1.6619841182019148,-0.07038359952062112,-2.644959734215568,-2.078592251239116,-3.5985287293360546,1.0493184209032629,-3.5707121592884254,-1.678876948239198,2.1173342629791856,0.14418689699929077,-2.6386211722742545,-3.257009346029389,-2.2684042760750605,-4.12,-4.52766830913782,1.9772412249493376,-4.610371825379933,3.1611016849277265,-4.12,-0.4253295808216193,1.0405756522910687,-2.335899227475103,-1.705668469096251,1.9627147112181964,2.7070008699003614,0.37842035896504367,0.23337850871507282,-4.12,-1.8536169963579419,-2.280536301097394,-2.285091934432696,3.2564436758111936,0.25469741570788074,-0.5324635926055166,-1.787138505701345,-1.5435174546744692,-2.096380501057853,2.851363255217527
4,1.530296024019266,3.62,-1.1619841182019148,-0.1844017912178016,-2.144959734215568,-1.5785922512391162,-3.0985287293360546,0.5493184209032629,-3.0707121592884254,-1.178876948239198,1.7673342629791855,-0.06877269917977558,-2.587544462558522,-2.757009346029389,-1.7684042760750605,-3.62,-4.02766830913782,1.4772412249493376,-4.110371825379933,2.6611016849277265,-3.62,-0.09438235625166919,0.7260834271385589,-1.8358992274751031,-1.205668469096251,1.4627147112181964,2.2838143492107927,0.25564742211240965,0.7333785087150728,-3.62,-1.3536169963579419,-1.7805363010973938,-1.785091934432696,2.7564436758111936,0.7546974157078807,-0.23828047108753464,-1.287138505701345,-1.0435174546744692,-1.596380501057853,2.351363255217527
5,2.030296024019266,3.12,-0.6619841182019148,0.3155982087821984,-1.644959734215568,-1.0785922512391162,-2.5985287293360546,0.19526344693353276,-2.5707121592884254,-0.7411337993700489,1.9911511446635877,-0.06937533080477883,-2.087544462558522,-2.257009346029389,-1.2684042760750605,-3.12,-3.5276683091378196,1.9772412249493376,-3.610371825379933,2.282682369133926,-3.12,0.4056176437483308,1.2260834271385588,-1.3358992274751031,-0.7056684690962509,1.432150379977174,1.8951965635319517,-0.01670428046035538,1.2221502512945353,-3.12,-0.8536169963579419,-1.2805363010973938,-1.285091934432696,2.2564436758111936,1.2546974157078807,-0.15722219445402658,-0.7871385057013449,-0.5435174546744692,-1.096380501057853,1.8513632552175272
6,2.3712805307426983,2.64850790537197,-0.16198411820191483,0.6303009667697888,-1.144959734215568,-0.5785922512391162,-2.0985287293360546,0.07509365377540961,-2.0707121592884254,-0.4170540488695058,2.147822961842669,-0.0697971729422811,-1.587544462558522,-1.7570093460293892,-0.7684042760750605,-2.62,-3.0276683091378196,2.1193860507003985,-3.110371825379933,1.782682369133926,-2.62,0.2920985577087121,1.7260834271385588,-0.8358992274751031,-0.20566846909625092,1.6810365917742556,1.7110010503983122,-0.2643933838222443,1.7221502512945353,-2.62,-0.35361699635794186,-0.7805363010973938,-0.7850919344326961,1.7564436758111936,1.7546974157078807,-0.6572221944540266,-0.2871385057013449,-0.043517454674469214,-0.5963805010578529,1.3513632552175272
7,2.0692579972856855,2.14850790537197,0.33801588179808517,0.2597010372137102,-0.644959734215568,-0.07859225123911617,-1.5985287293360546,-0.18128102786059602,-1.5707121592884254,-0.7346499369846116,2.0706010056731814,-0.06908607767528055,-1.087544462558522,-1.3471509270835909,-0.26840427607506046,-2.515271089579225,-2.5276683091378196,2.194481543325638,-2.610371825379933,1.282682369133926,-2.12,-0.06099678180490253,2.226083427138559,-0.33589922747510315,0.2943315309037491,1.1810365917742556,1.7198168121591095,-0.1247604644403276,2.2221502512945355,-2.12,0.028443750405017065,-0.2805363010973938,-0.2850919344326961,1.2564436758111936,1.2883887114145112,-0.573164860296142,0.21286149429865509,0.2963839780498053,-0.0963805010578529,0.8797396765089522
8,1.8365562856042659,1.6485079053719698,-0.10204209288345156,-0.13274010282639942,-0.14495973421556796,0.27288070897419275,-1.0985287293360546,0.00017283271711338033,-1.7992658747880599,-0.41104228812716703,1.850296327832036,-0.06896804590563416,-0.587544462558522,-0.8471509270835909,0.23159572392493954,-2.015271089579225,-2.668179710077272,1.694481543325638,-2.110371825379933,0.782682369133926,-1.62,-0.3161285402235261,2.1659484778732696,-0.06798725934198935,0.38622902029499695,1.0245679993770844,2.043149527384561,0.06462903801374711,2.4311793685198984,-1.62,0.4383584923192643,0.2194636989026062,0.2149080655673039,0.7564436758111936,0.8224228392647959,-0.725079212424981,0.7128614942986551,0.001878427273938832,0.4036194989421471,0.37973967650895224
9,1.3365562856042659,1.1485079053719698,-0.6020420928834516,-0.3140425145154343,0.006650649034515899,0.2243275427077459,-0.7485287293360546,0.12719053512150996,-2.29926587478806,0.014538393542131711,1.7136398217214588,-0.0517202289494066,-1.006779837241591,-0.34715092708359085,-0.22662910002402314,-1.5152710895792252,-2.168179710077272,1.6897281310766412,-1.610371825379933,0.28268236913392597,-1.431207103744773,-0.15594823471818692,1.6659484778732696,0.14416615347847586,-0.11377097970500305,0.5245679993770844,1.543149527384561,0.18046056842854602,1.9311793685198984,-1.12,-0.061641507680735674,-0.003303793084600548,-0.07743090466078051,0.25644367581119365,0.32242283926479587,-0.3207533254522549,0.21314250999183815,-0.2470704021585675,0.5275912461676779,-0.03458304655208805
