iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,0.42602252596240575,0.6081731419206609,0.7067285181265774,12,0.7,1.4,1.4
1,0.42602252596240575,0.5239582589508949,0.5075246997056745,7,0.7,1.4,1.4
2,0.42602252596240575,0.4059566829501809,0.3865829621525069,5,0.7,1.4,1.4
3,0.42602252596240575,0.37750923301883776,0.36873066266951826,8,0.7,1.4,1.4
4,0.42602252596240575,0.37068353458021797,0.30784164749827625,7,0.7,1.4,1.4
5,0.42602252596240575,0.3288457252111717,0.2908702246272495,4,0.7,1.4,1.4
6,0.42602252596240575,0.31713761563643145,0.24991823057497994,4,0.7,1.4,1.4
7,0.42602252596240575,0.2844380276677395,0.23650032887030425,5,0.7,1.4,1.4
8,0.36213763338322735,0.22349776601117938,0.24120186384162032,4,0.7,1.4,1.4
9,0.13457175473745053,0.25062028925619345,0.19151312599792417,7,0.7,1.4,1.4
10,0.13457175473745053,0.1950802185249934,0.22481796065024784,2,0.7,1.4,1.4
11,0.13457175473745053,0.18218571871120395,0.16983499117207046,2,0.7,1.4,1.4
12,0.13457175473745053,0.1498044681439517,0.15622202948302927,4,0.7,1.4,1.4
13,0.009649132647233216,0.17858160132402565,0.12806041418914416,6,0.7,1.4,1.4
14,0.009649132647233216,0.1417724174334383,0.15330903923205677,3,0.7,1.4,1.4
15,0.009649132647233216,0.16498077866077004,0.13630008722063905,6,0.7,1.4,1.4
16,0.009649132647233216,0.11302972228518837,0.09272098229921064,5,0.7,1.4,1.4
17,0.009649132647233216,0.11113411348898147,0.08609817014683856,7,0.7,1.4,1.4
18,0.009649132647233216,0.08559588989339367,0.10267248948797189,2,0.7,1.4,1.4
19,0.005711766856855149,0.07619376333056346,0.0587964997027209,7,0.7,1.4,1.4
20,0.005711766856855149,0.08369314483663581,0.057103386258865,7,0.7,1.4,1.4
21,0.0021858760586397352,0.0657303910978793,0.08228220990069181,6,0.7,1.4,1.4
22,0.0021858760586397352,0.07108789180409825,0.08657086560311422,5,0.7,1.4,1.4
23,0.0021858760586397352,0.05965654349792101,0.06640918064374758,2,0.7,1.4,1.4
24,0.0021858760586397352,0.0634321443284417,0.029403846268325123,5,0.7,1.4,1.4
25,0.0021858760586397352,0.05172647047320077,0.05646369402889254,4,0.7,1.4,1.4
26,0.0021858760586397352,0.044764378974466904,0.06761775308710154,5,0.7,1.4,1.4
27,0.0021858760586397352,0.03449422076315543,0.07574465813644055,2,0.7,1.4,1.4
28,0.0006426100145979774,0.05286508252948062,0.04598129199384801,5,0.7,1.4,1.4
29,0.0003708430532256557,0.029024281886331806,0.040603440195072456,6,0.7,1.4,1.4
30,0.0003708430532256557,0.03316984720783855,0.048676747941472906,1,0.7,1.4,1.4
31,0.0003708430532256557,0.025683817554582284,0.04033701775007242,5,0.7,1.4,1.4
32,0.0003708430532256557,0.02482009687237683,0.054114315707430846,3,0.7,1.4,1.4
33,0.0003708430532256557,0.028223522559142844,0.034426278098147134,5,0.7,1.4,1.4
34,0.0001671965851066659,0.03259765304243405,0.016845204248300334,4,0.7,1.4,1.4
35,0.0001671965851066659,0.014597360323330946,0.02208360800873018,2,0.7,1.4,1.4
36,7.558945191732391e-05,0.03470050639774717,0.04474028345258972,4,0.7,1.4,1.4
37,7.558945191732391e-05,0.029928942458231043,0.06597865692214214,6,0.7,1.4,1.4
