iter,best_fit,avg_velocity,diversity,num_improving,w,c1,c2
0,8.30096250419616,0.6892279751681692,3.4849315457354963,10,0.7,2.5,0.5
1,8.30096250419616,0.5741544180042203,3.1092256454637934,5,0.7,2.5,0.5
2,1.6622561811853984,0.5656030994667522,2.7313128462825382,11,0.7,2.5,0.5
3,1.6622561811853984,0.5143885398226475,2.462883473164911,3,0.7,2.5,0.5
4,1.6622561811853984,0.5113598363577607,2.2603164326688425,8,0.7,2.5,0.5
5,1.6622561811853984,0.3952476078988417,2.1046559664516904,4,0.7,2.5,0.5
6,1.6622561811853984,0.4341918532185507,1.9295786476454933,5,0.7,2.5,0.5
7,1.5100401918238369,0.5150397384023783,1.955968871157923,7,0.7,2.5,0.5
8,1.5100401918238369,0.4819293405093445,1.7286273977958242,4,0.7,2.5,0.5
9,1.3079970708796296,0.40931233850437315,1.5920721407263794,4,0.7,2.5,0.5
10,1.3079970708796296,0.4586396308618137,1.5358083945515149,2,0.7,2.5,0.5
11,1.202564112856649,0.4549916949246833,1.5286638862429571,5,0.7,2.5,0.5
12,1.202564112856649,0.4140833574696107,1.6310781872976456,1,0.7,2.5,0.5
13,1.202564112856649,0.3577229848445554,1.5388745584626693,1,0.7,2.5,0.5
14,1.202564112856649,0.45679602624627724,1.5021895612611629,1,0.7,2.5,0.5
15,1.202564112856649,0.35128016371093723,1.410083219927746,3,0.7,2.5,0.5
16,1.202564112856649,0.4204394810258851,1.2934060137693504,3,0.7,2.5,0.5
17,1.1796894665725048,0.35451258445265,1.336952707995731,1,0.7,2.5,0.5
18,1.1796894665725048,0.3788584517198304,1.2553219169842769,2,0.7,2.5,0.5
19,1.1796894665725048,0.35049192490313863,1.2494591027528095,1,0.7,2.5,0.5
20,1.0122471803298012,0.4208704174176193,1.2797192172243004,4,0.7,2.5,0.5
21,1.0122471803298012,0.3557240465144476,1.2807551063511347,1,0.7,2.5,0.5
22,1.0122471803298012,0.37762293190899576,1.2621393364128957,1,0.7,2.5,0.5
23,1.0122471803298012,0.2826784527107533,1.2591238312715884,0,0.7,2.5,0.5
24,1.0122471803298012,0.3927154797399023,1.2022938871375362,0,0.7,2.5,0.5
25,1.0122471803298012,0.3184317638688972,1.1975095372544378,4,0.7,2.5,0.5
